iso3,country,region,income_2022,msw_2022_tpy,food_frac,green_frac,landfill_dump_uncollected_frac,electricity_carbon_intensity_2022_gco2_kwh,has_msw_generation,has_food_green_composition,has_disposal_treatment_shares,has_collection_coverage,has_wdi_development_covariates,has_electricity_carbon_intensity
MRT,Mauritania,Sub-Saharan Africa,LMIC,562643.6061211217,,,0.92,481.71,True,False,True,False,True,True
NAM,Namibia,Sub-Saharan Africa,UMIC,740296.8232342073,,,,45.46,True,False,False,False,True,True
NER,Niger,Sub-Saharan Africa,LIC,1856516.9794370865,0.65,,,683.54,True,True,False,False,True,True
NGA,Nigeria,Sub-Saharan Africa,LMIC,45737275.0330208,0.4978,,,497.37,True,True,False,True,True,True
RWA,Rwanda,Sub-Saharan Africa,LIC,1186144.6411368144,,,,288.46,True,False,False,False,True,True
SLE,Sierra Leone,Sub-Saharan Africa,LIC,433435.1094259653,,,,50.0,True,False,False,False,True,True
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,LIC,828483.6260641322,,,,523.81,True,False,False,False,True,True
SSD,South Sudan,Sub-Saharan Africa,LIC,383353.5441103168,,,,647.06,True,False,False,False,True,True
STP,São Tomé and Príncipe,Sub-Saharan Africa,LMIC,29105.073784211658,0.5,,,555.56,True,True,False,True,True,True
TGO,Togo,Sub-Saharan Africa,LIC,350134.51166737685,0.38,,,477.78,True,True,False,False,True,True
UGA,Uganda,Sub-Saharan Africa,LIC,10554334.368789528,0.73,0.08,,57.39,True,True,False,False,True,True
ZWE,Zimbabwe,Sub-Saharan Africa,LMIC,2665433.7290080967,0.44688,,,297.54,True,True,False,True,True,True
