region,countries,ofmsw_food_green_2022_mt,unmanaged_ofmsw_food_green_2022_mt,first_pass_ch4_mt,first_pass_gwp100_mtco2e,ad_electricity_net_benefit_mtco2e,ad_bio_cng_net_benefit_mtco2e,compost_net_benefit_mtco2e,prevention_net_benefit_mtco2e
E. Asia & Pacific,37,406.2750878486488,127.26474712397308,5.0427072579554695,137.16163741638871,56.687194722419115,58.053822463087016,53.13258175819822,61.77945725986196
L. Amer. & the Caribbean,42,112.79124245401127,107.49647729534911,4.141897815950168,112.65962059384455,44.11235913535135,48.33063355997463,43.60082118154813,50.44622968374225
N. Amer.,3,102.15164354761299,51.4370143689969,2.7311385661758867,74.28696899998411,29.676224721883965,31.190151609949076,29.014729834431606,20.088764602913052
Eur. & Cent. Asia,58,148.3681064663202,69.25757900137903,2.5309813738458464,68.84269336860702,27.724985478394665,29.466667341700692,26.59448169723404,28.840531383820355
Mid. East & N. Africa,21,87.35792376351411,79.27133260584354,2.2315316327277257,60.69766041019411,25.772410944368872,26.184847769212045,23.200181327312123,35.8033640820358
S. Asia,8,134.2572954129664,56.65266492939827,1.6241167727015473,44.17597621748209,18.872193233134112,19.00050784622631,16.899347717303726,25.345470637377215
Sub-Saharan Africa,48,72.73230951451592,24.39899405102323,0.5994166627916405,16.304133227932624,6.247423282675289,7.282135476065511,6.1895829821386235,10.507798729468215
