opportunity_readiness_class,cities,city_ofmsw_mt,city_unmanaged_ofmsw_mt,cities_with_ad_asset_data,cities_with_compost_asset_data
Immediate priority,83,46.942878734600164,27.502471843261226,2,26
Strategic build-out,41,25.017435929547105,15.309136468424319,3,12
,49,14.057739167236896,12.726721837958165,1,5
No-regret / complementary,76,6.61737461943446,1.6196867976346754,1,18
Longer-term / local fit,13,1.2257848148988233,1.1792103047208033,1,1
