pathway,central_mtco2e,nutrient_credit_mtco2e,with_nutrients_mtco2e
AD-electricity,209.09279151822736,6.816532744712729,215.90851555187976
AD-bio-CNG,219.50876606621526,6.816532744712729,226.32449009986766
Composting,198.63172649816647,1.1737062586159417,199.80543275678244
Prevention,232.81161637921883,0.0,232.81161637921883
