scenario,first_pass_ch4_mt,ad_electricity_mtco2e,ad_bio_cng_mtco2e,composting_mtco2e,prevention_mtco2e
high_capture,9.362009480737283,105.30959609365605,115.72557064164398,94.83891355481477,187.63689158970683
low_capture,15.622497496180952,173.41662356285673,183.83259811084469,162.95302316284187,217.30589542735882
moderate_capture,12.368446598946779,138.01575068108963,148.43172522907759,127.54894940093409,201.89634558839236
