iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,Jeddah,jddh,3500000.0,,2023.0,1825000.0,1.429,0.554,,,,,,,,0.822,,,,,,,,,0.178,0.554,1011050.0000000001,1.0,1011050.0000000001,,,,,,False,False
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,Guayaquil,guay,2674939.0,,2022.0,1768373.7600000002,1.8,0.5171,,,,,,,1.0,,,,,,,,,,,0.5171,914426.0712960002,1.0,914426.0712960002,,,,,,False,False
IND,India,S. Asia,LMIC,Delhi,dehi,16787941.0,30290936.0,2022.0,4139830.0,0.676,0.4743,,,,1.0,0.2982,,,,1e-05,0.1032,,0.4369,,,,0.11,0.05169,0.4743,1963521.369,0.45989,903003.84238941,0.10321,,1552.73,22.1066922,427027.60433,True,True
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,St.petersburg,stpe,,,2018.0,3076000.0,,0.311,,0.032,,,,,0.2925877763329,0.641677503250975,,0.0433355006501951,0.0121911573472042,0.00208062418725618,,0.00812743823146944,,,,0.311,956636.0,0.934265279583875,893751.7999999998,0.0433355006501951,,,,133300.0,False,True
VEN,"Venezuela, RB",L. Amer. & the Caribbean,LMIC,Caracas,cacs,3220540.0,2898755.0,2010.0,1787940.0,1.521,0.5,,,,,,,0.991,,,,0.009,,,,,,,0.5,893970.0,0.991,885924.27,,,,,,False,False
CIV,Côte d’Ivoire,Sub-Saharan Africa,LMIC,Abidjan,abid,5551934.0,5202762.0,2020.0,1818795.0,0.898,0.453,,0.003,,0.85,,,0.85,,,,,,,,,0.15,,0.453,823914.135,1.0,823914.135,,,,,,False,False
IDN,Indonesia,E. Asia & Pacific,UMIC,Jakarta,jaka,10560000.0,11634078.0,2023.0,3141650.18,0.815,0.4987,,0.0318,,0.99,,,,,,,0.2307,,,,,0.01,0.4935,0.4987,1566740.944766,0.5035,788854.0656896809,,,,,,False,False
AGO,Angola,Sub-Saharan Africa,LMIC,Luanda,land,8000000.0,8329798.0,2021.0,2500000.0,0.856,0.3029,,,0.005,0.7,,0.48999999999999994,,,,,0.034999999999999996,,,,,0.3,0.175,0.3029,757250.0,0.9649999999999999,730746.2499999999,,,,,,False,False
DZA,Algeria,Mid. East & N. Africa,LMIC,Algiers,algr,3684211.0,2592330.0,2017.0,1300000.0,0.967,0.543999631626482,,,,0.85,,,0.8,,,,,,,,,0.15,0.05,0.543999631626482,707199.5211144267,1.0,707199.5211144267,,,,,,False,False
IND,India,S. Asia,LMIC,Ahmedabad,ahdb,7180000.0,,2023.0,1496500.0,0.571,0.35,0.15,,,0.9755,0.9,0.02,,,,,0.08,,,,,0.0245,,0.5,748250.0,0.9445,706722.125,,,1400.0,,,False,True
AFG,Afghanistan,S. Asia,LIC,Kabul,kbul,5000000.0,4221532.0,2021.0,1168000.0,0.64,0.5217,,0.0416,,0.5781,0.4463,,,,,,,,,,,0.475,0.0787,0.5217,609345.6000000001,1.0,609345.6000000001,,,,,,False,False
ARE,United Arab Emirates,Mid. East & N. Africa,HIC,Abu Dhabi,abud,3789860.0,1482816.0,2022.0,1829990.8,1.323,0.49,,,,,,0.646484059345921,0.0108493961223707,,,0.00573460579289217,0.336027109293089,0.000904829445727056,,,,,,0.49,896695.492,0.6573334554682917,589427.9462591999,0.00573460579289217,,,,10494.2758426194,False,True
KHM,Cambodia,E. Asia & Pacific,LMIC,Phnom Penh,phph,2147000.0,1778611.0,2016.0,1031909.5,1.317,0.4918,0.0669,,0.0091,0.833,0.0949,,,0.5791,,,0.0692,,,,,0.167,0.0898,0.5587,576527.83765,0.9308,536632.11128462,,,,,,False,False
KEN,Kenya,Sub-Saharan Africa,LMIC,Nairobi,nair,4397072.0,4734881.0,2019.0,1126025.0,0.702,0.51,0.03,0.02,,0.65,0.5,,,,,,0.15,,,,,0.35,,0.54,608053.5,0.85,516845.475,,,,,,False,False
NGA,Nigeria,Sub-Saharan Africa,LMIC,Ibadan,iban,3163138.0,,2012.0,635000.0,0.55,0.76,,,,0.4,0.4,,,,,,,,,,,0.6,,0.76,482600.0,1.0,482600.0,,,,,,False,False
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,Santo Domingo,sado,2944550.0,2944551.0,2015.0,730000.0,0.679,0.577,0.0685,0.003,0.009000000000000001,0.8684,,,,1.0,,,,,,,,,,0.6455,471215.0,1.0,471215.0,,,,,,False,False
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,Quito,quit,2679722.0,2017260.0,2023.0,735675.126903553,0.752,0.6341,,0.0032,0.00985,,,,0.997,,,,0.003,,,,,,,0.6341,466491.59796954296,0.997,465092.1231756343,,,,,,False,False
UKR,Ukraine,Eur. & Cent. Asia,LMIC,Kiev,kiev,,3018156.0,2023.0,1280960.43,,0.44,,0.023,0.01,1.0,,0.803081896318029,,,,0.000540219822471744,0.0319768135154069,0.110223454825519,,,0.0541776155185732,,,0.44,563622.5891999999,0.803081896318029,452635.09774241335,0.000540219822471744,,,,692.000216087929,False,True
GHA,Ghana,Sub-Saharan Africa,LMIC,Accra,acra,,2514005.0,2020.0,900000.0,,0.5391,,,,0.454,,,,0.677,,0.012,0.068,,,0.013,,0.23,,0.5391,485190.0,0.907,440067.33,0.012,,,,10800.0,False,True
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,Tashkent,tash,,2517381.0,2022.0,744280.0,,0.59,,,,1.0,,,1.0,,,,,,,,,,,0.59,439125.19999999995,1.0,439125.19999999995,,,,,,False,False
