best_four_pathway_screen,cities,city_ofmsw_mt,city_unmanaged_ofmsw_mt,cities_with_ad_asset_data,cities_with_compost_asset_data
Prevention,160,67.60185735055315,37.337683311684515,7,36
,49,14.057739167236896,12.726721837958165,1,5
AD-bio-CNG,49,11.76249154792741,7.83369690235651,0,19
AD-electricity,4,0.4391251999999999,0.4391251999999999,0,2
