region,ad_electricity_net_benefit_mtco2e,ad_bio_cng_net_benefit_mtco2e,compost_net_benefit_mtco2e,prevention_net_benefit_mtco2e
Sub-Saharan Africa,6.247423282675289,7.282135476065511,6.1895829821386235,10.507798729468217
N. Amer.,29.676224721883965,31.190151609949076,29.01472983443161,20.088764602913052
S. Asia,18.872193233134112,19.00050784622631,16.899347717303726,25.345470637377215
Eur. & Cent. Asia,27.724985478394665,29.466667341700692,26.59448169723404,28.840531383820355
Mid. East & N. Africa,25.772410944368872,26.184847769212045,23.200181327312123,35.8033640820358
L. Amer. & the Caribbean,44.11235913535135,48.33063355997463,43.60082118154813,50.44622968374225
E. Asia & Pacific,56.687194722419115,58.053822463087016,53.13258175819822,61.77945725986196
