iso3,country,region,income_2022,bio_cng_screen_biomethane_m3,bio_cng_screen_avoided_landfill_gwp100_tco2e,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,scenario,diesel_substitution_multiplier,upgrading_electricity_multiplier,process_emissions_multiplier,methane_slip_pct_of_biomethane,bio_cng_stress_avoided_diesel_tco2e,bio_cng_stress_upgrading_electricity_tco2e,bio_cng_stress_process_tco2e,bio_cng_stress_methane_slip_tco2e,bio_cng_stress_net_gwp100_benefit_tco2e,best_pathway_under_bio_cng_stress,bio_cng_remains_best
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,299374838.24275964,2989315.1418419997,793103.8214727187,124693.87907074098,361120.2169939839,3296604.8672499936,3154412.615596954,2823918.981128835,5140421.583702003,Prevention,high_stress,0.6,1.5,1.25,0.03,475862.2928836312,187040.81860611145,451400.27124247985,175106.97738676664,2651629.3674902734,Prevention,False
VNM,Viet Nam,E. Asia & Pacific,LMIC,206276731.43583623,2796127.1502038697,546468.3169198172,62611.152218970914,248820.83763003245,3031163.4772746833,2811530.155647206,2682165.0696756374,3910085.923262824,Prevention,high_stress,0.6,1.5,1.25,0.03,327880.9901518903,93916.72832845637,311026.0470375406,120653.07545205725,2598412.2895377064,Prevention,False
MYS,Malaysia,E. Asia & Pacific,UMIC,181259082.99415204,2640754.8188574207,480191.5626681075,79999.99970984783,218643.3561590802,2822303.0256566,2759717.5699183205,2540614.2840095605,3174963.063704232,Prevention,high_stress,0.6,1.5,1.25,0.03,288114.9376008645,119999.99956477174,273304.19519885024,106020.03272320988,2429545.5289714537,Prevention,False
CHL,Chile,L. Amer. & the Caribbean,HIC,120012838.12029488,2496518.2209637123,317938.01074828516,32690.993400767864,144765.21272947325,2637000.0255817566,2489711.4965244425,2430214.510278142,2709766.326181421,Prevention,high_stress,0.6,1.5,1.25,0.03,190762.8064489711,49036.490101151794,180956.51591184156,70196.56512953593,2387091.456270154,Prevention,False
PHL,Philippines,E. Asia & Pacific,LMIC,224741771.49175543,2530875.69331052,595385.9010359584,98940.15062447728,271094.2501550659,2756227.193566935,2677316.433420916,2406712.1985599366,4002326.0483580623,Prevention,high_stress,0.6,1.5,1.25,0.03,357231.540621575,148410.2259367159,338867.8126938324,131453.43987311688,2269375.7554284297,Prevention,False
CAN,Canada,N. Amer.,HIC,147504713.4047922,2031928.7212607025,390769.48675197543,17309.158191369046,177927.22469608622,2227461.8251252226,1927047.4657825832,1950436.524296356,2477478.741389202,Prevention,high_stress,0.6,1.5,1.25,0.03,234461.69205118527,25963.73728705357,222409.0308701078,86276.8049119409,1931740.8402427856,Prevention,False
DZA,Algeria,Mid. East & N. Africa,LMIC,173586121.20843667,2066615.8250642563,459864.35230539035,80369.07060402543,209387.8634753657,2236723.243290256,2196391.5761629133,1970714.3853524644,3147226.495451864,Prevention,high_stress,0.6,1.5,1.25,0.03,275918.6113832342,120553.60590603814,261734.82934420713,101532.04985268124,1858713.9513445639,Prevention,False
UKR,Ukraine,Eur. & Cent. Asia,LMIC,111941655.21690051,1928632.3422180987,296555.8330006128,20486.69718007292,135029.36672925454,2069672.111309384,1880058.4018618965,1866787.7326128692,2327533.13522138,Prevention,high_stress,0.6,1.5,1.25,0.03,177933.49980036766,30730.045770109376,168786.7084115682,65475.65922293102,1841573.4286138578,Prevention,False
PER,Peru,L. Amer. & the Caribbean,UMIC,135483164.49753326,1863682.5593861288,358921.99938686506,28491.52658154336,163426.25869815925,2030686.7734932909,1820492.7183484235,1788831.9293843133,2123553.9963977984,Prevention,high_stress,0.6,1.5,1.25,0.03,215353.19963211904,42737.28987231504,204282.82337269906,79245.29516645477,1752770.350606779,Prevention,False
BGD,Bangladesh,S. Asia,LMIC,137980972.23572057,1763418.1732005675,365539.1916468709,68202.24492738988,166439.2335951746,1894315.886324874,1884797.62081928,1687187.5748202447,2100472.5002956856,Prevention,high_stress,0.6,1.5,1.25,0.03,219323.51498812254,102303.36739108482,208049.04199396825,80706.28489322863,1591682.9939104083,Prevention,False
MAR,Morocco,Mid. East & N. Africa,LMIC,119134609.06794287,1682112.826293138,315611.40634279425,57681.972133844014,143705.8509346834,1796336.4095674048,1781829.302102304,1616294.312407467,2291868.6222355664,Prevention,high_stress,0.6,1.5,1.25,0.03,189366.84380567653,86522.95820076602,179632.31366835424,69682.88122839956,1535641.517001295,Prevention,False
MMR,Myanmar,E. Asia & Pacific,LMIC,102833125.26416168,1574818.901307396,272425.5154498171,42367.86035794829,124042.22321266412,1680834.3331866006,1629572.2838267891,1518006.497791251,513452.31563722255,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,163455.30926989028,63551.79053692243,155052.77901583014,60147.99989851049,1459521.6411260231,AD-electricity,False
FRA,France,Eur. & Cent. Asia,HIC,58153744.05618664,1309220.6861417703,154060.8987536496,3337.7082953128647,70147.82135950137,1389796.0552406055,1253158.2486410604,1277092.381523899,1163179.782355882,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,92436.53925218976,5006.562442969297,87684.7766993767,34014.63665141126,1274951.2496002028,Composting,False
VEN,"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),102011241.73254023,1252984.0348391896,270248.18159784557,13448.730510874311,123050.82807396428,1386732.6578521966,1186687.876406405,1196625.6988107515,1868777.161323446,Prevention,high_stress,0.6,1.5,1.25,0.03,162148.90895870732,20173.095766311468,153813.53509245533,59667.27298829003,1181479.03995084,Prevention,False
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,92854642.67719412,1163849.736136254,245990.51938042263,12985.840506650233,112005.70131180069,1284848.7136982256,1106645.2733035835,1112550.1630213377,1712701.6450317488,Prevention,high_stress,0.6,1.5,1.25,0.03,147594.31162825358,19478.76075997535,140007.12663975084,54311.49762274639,1097646.662742035,Prevention,False
TZA,Tanzania,Sub-Saharan Africa,LMIC,130268518.82716794,1150668.883708805,345107.36007693334,33244.91809849971,157136.10423132978,1305395.2214559088,1133828.8722873346,1078699.1984731578,2161734.5572617617,Prevention,high_stress,0.6,1.5,1.25,0.03,207064.41604616,49867.37714774956,196420.13028916222,76195.2030249762,1035250.5892930771,Prevention,False
ITA,Italy,Eur. & Cent. Asia,HIC,54965096.81283715,1026089.1448895456,145613.53447656817,15174.676375556712,66301.52288233305,1090226.480108224,1023825.914982907,995722.4780065432,1182405.341357395,Prevention,high_stress,0.6,1.5,1.25,0.03,87368.1206859409,22762.01456333507,82876.90360291631,32149.5688186804,975668.7785905547,Prevention,False
POL,Poland,Eur. & Cent. Asia,HIC,43253909.21769593,1004500.947879776,114588.25629952004,23149.71471621907,52174.92951049703,1043764.5599525796,1050019.5820810515,980604.382081412,869529.4183759743,AD-electricity,high_stress,0.6,1.5,1.25,0.03,68752.95377971203,34724.57207432861,65218.661888121285,25299.592135831466,948011.0755612067,AD-electricity,False
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,65271459.47864651,909353.463451426,172917.15045083035,53479.70698172902,78733.54938176041,950057.3575387668,1056308.3610052995,873292.8216644265,853349.5814355115,AD-electricity,high_stress,0.6,1.5,1.25,0.03,103750.29027049821,80219.56047259353,98416.93672720052,38177.851037903754,796289.4054842264,AD-electricity,False
ETH,Ethiopia,Sub-Saharan Africa,LIC,80326260.77664779,838719.4276654472,212800.3300494953,1382.20662517468,96893.36916971151,953244.1819200563,747659.0759931277,794341.4324575505,1397566.808790034,Prevention,high_stress,0.6,1.5,1.25,0.03,127680.19802969717,2073.30993776202,121116.71146213938,46983.53679935612,796226.0674958869,Prevention,False
ROU,Romania,Eur. & Cent. Asia,HIC,63303223.97703032,838741.2099786614,167702.90095994872,13773.086586140404,76359.36978934408,916311.6545631256,820505.3172345078,803767.9628346369,1190272.4523961886,Prevention,high_stress,0.6,1.5,1.25,0.03,100621.74057596923,20659.629879210606,95449.2122366801,37026.612772536035,786227.4956662039,Prevention,False
YEM,"Yemen, Rep.",Mid. East & N. Africa,LIC,92299298.3441432,887437.3984676844,244519.30117330415,39396.23534309174,111335.81847450252,981224.6458233944,942356.7012624654,836444.6374452591,1567732.5351432888,Prevention,high_stress,0.6,1.5,1.25,0.03,146711.58070398247,59094.353014637614,139169.77309312814,53986.67183531478,781898.1812285864,Prevention,False
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,72729617.3011202,779015.357345963,192675.3021541276,9628.752759526476,87729.93527389449,874331.9714666697,731919.4939260365,738834.2935586694,621715.1891479833,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,115605.18129247655,14443.129139289715,109662.4190923681,42540.19318005745,727974.7972267243,Composting,False
PRT,Portugal,Eur. & Cent. Asia,HIC,31400739.31083491,696199.4825250516,83186.83858226385,5170.1443813634005,37877.07029842368,736339.1064275283,680140.816285228,678851.459037,691438.2990343983,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,49912.10314935831,7755.216572045101,47346.337873029595,18366.568749413273,672643.4624799219,Prevention,False
