region,countries,ofmsw_food_green_2022_mt,unmanaged_ofmsw_food_green_2022_mt,first_pass_ch4_mt,first_pass_gwp100_mtco2e,ad_net_benefit_mtco2e,compost_net_benefit_mtco2e,prevention_net_benefit_mtco2e
E. Asia & Pacific,37,406.2750878486488,127.26474712397308,5.0427072579554695,137.16163741638871,59.242891517953545,51.86375222937221,61.77945725986196
L. Amer. & the Caribbean,42,112.79124245401127,107.49647729534911,4.141897815950168,112.65962059384455,45.48652528507429,42.5290813029135,50.44622968374225
Mid. East & N. Africa,21,87.35792376351411,79.27133260584354,2.2315316327277257,60.69766041019411,27.476818693894653,22.409846141231856,35.8033640820358
Eur. & Cent. Asia,58,148.3681064663202,69.25757900137903,2.5309813738458464,68.84269336860702,28.86068679187902,25.903983634590293,28.840531383820355
S. Asia,8,134.2572954129664,56.65266492939827,1.6241167727015473,44.17597621748209,20.132859868261818,16.33452064795763,25.345470637377215
N. Amer.,3,102.15164354761299,51.4370143689969,2.7311385661758867,74.28696899998411,30.463319215557217,28.501902801172704,20.088764602913052
Sub-Saharan Africa,48,72.73230951451592,24.39899405102323,0.5994166627916405,16.304133227932624,6.539785494077558,5.946325011449923,10.507798729468215
