income_2022,countries,ofmsw_food_green_2022_mt,unmanaged_ofmsw_food_green_2022_mt,first_pass_ch4_mt,first_pass_gwp100_mtco2e,ad_electricity_net_benefit_mtco2e,ad_bio_cng_net_benefit_mtco2e,compost_net_benefit_mtco2e,prevention_net_benefit_mtco2e
UMIC,54,501.20509338686037,240.72558917615754,9.208338322173555,250.46680236312068,101.52321970616826,106.72894030973612,96.91044567656077,116.09670940836007
HIC,83,256.7102530304987,105.4996210932463,5.058494288984106,137.5910446603677,55.21263134644954,57.97701093675771,53.60056802106799,43.068905055540334
LMIC,54,269.3951751008008,147.67807339857342,4.110725052111496,111.81172141743266,46.86308859770459,48.42588431213993,42.71478998801849,64.25020662164098
LIC,25,32.482137009750346,17.73457522830637,0.40906844508875917,11.126661706414248,4.307163991498547,4.990197849729316,4.209297113708449,7.52701813235404
UMC (2019),1,4.140950479679504,4.140950479679504,0.11516397379036668,3.1324600870979733,1.1866878764064048,1.3867326578521966,1.1966256988107515,1.868777161323446
