pathway,mean_mtco2e,p05_mtco2e,p50_mtco2e,p95_mtco2e
AD-electricity,210.12096369847066,201.0072116052923,209.99905547181228,219.71260404993726
AD-bio-CNG,217.2540371683528,204.80158213963952,216.76507792654434,231.55578438842954
Composting,195.5686852626525,189.73932716076214,195.87653023032823,200.0894317578596
Prevention,249.5266217748261,131.179862321249,244.44085712275324,392.5606683945796
