iso3,country_wdi,indicator,value
CHN,China,NY.GDP.PCAP.CD,12970.6056414327
COL,Colombia,NY.GDP.PCAP.CD,6680.44506854481
COM,Comoros,NY.GDP.PCAP.CD,1465.479642862
COD,"Congo, Dem. Rep.",NY.GDP.PCAP.CD,687.738587554685
COG,"Congo, Rep.",NY.GDP.PCAP.CD,2620.83804267402
CRI,Costa Rica,NY.GDP.PCAP.CD,13625.9008491328
CIV,Cote d'Ivoire,NY.GDP.PCAP.CD,2333.37128301259
HRV,Croatia,NY.GDP.PCAP.CD,18465.5414420364
CUB,Cuba,NY.GDP.PCAP.CD,
CUW,Curacao,NY.GDP.PCAP.CD,20057.1404747175
CYP,Cyprus,NY.GDP.PCAP.CD,33231.04296875
CZE,Czechia,NY.GDP.PCAP.CD,28282.2236715857
DNK,Denmark,NY.GDP.PCAP.CD,67781.0940939514
DJI,Djibouti,NY.GDP.PCAP.CD,3133.25779772463
DMA,Dominica,NY.GDP.PCAP.CD,9323.66089490562
DOM,Dominican Republic,NY.GDP.PCAP.CD,10104.2449349081
ECU,Ecuador,NY.GDP.PCAP.CD,6515.58528418336
EGY,"Egypt, Arab Rep.",NY.GDP.PCAP.CD,4233.30783744856
SLV,El Salvador,NY.GDP.PCAP.CD,5074.60210221806
GNQ,Equatorial Guinea,NY.GDP.PCAP.CD,7589.29964909381
ERI,Eritrea,NY.GDP.PCAP.CD,
EST,Estonia,NY.GDP.PCAP.CD,28340.3826549406
SWZ,Eswatini,NY.GDP.PCAP.CD,3894.1620089869
ETH,Ethiopia,NY.GDP.PCAP.CD,982.103161506992
FRO,Faroe Islands,NY.GDP.PCAP.CD,67058.2022648126
FJI,Fiji,NY.GDP.PCAP.CD,5414.12092119088
FIN,Finland,NY.GDP.PCAP.CD,50440.560224974
FRA,France,NY.GDP.PCAP.CD,40988.6396406579
PYF,French Polynesia,NY.GDP.PCAP.CD,20053.9569369322
GAB,Gabon,NY.GDP.PCAP.CD,8409.2074145028
GMB,"Gambia, The",NY.GDP.PCAP.CD,836.244875868476
GEO,Georgia,NY.GDP.PCAP.CD,6729.84659930283
DEU,Germany,NY.GDP.PCAP.CD,50506.5179638543
GHA,Ghana,NY.GDP.PCAP.CD,2229.89122647803
GIB,Gibraltar,NY.GDP.PCAP.CD,
GRC,Greece,NY.GDP.PCAP.CD,20886.5243087629
GRL,Greenland,NY.GDP.PCAP.CD,55635.0006491223
GRD,Grenada,NY.GDP.PCAP.CD,10469.3867012856
GUM,Guam,NY.GDP.PCAP.CD,41833.1517132825
GTM,Guatemala,NY.GDP.PCAP.CD,5358.70156997677
GIN,Guinea,NY.GDP.PCAP.CD,1416.59612011764
GNB,Guinea-Bissau,NY.GDP.PCAP.CD,883.199131457831
GUY,Guyana,NY.GDP.PCAP.CD,17913.4928066879
HTI,Haiti,NY.GDP.PCAP.CD,1760.62635668777
HND,Honduras,NY.GDP.PCAP.CD,3003.28996826399
HKG,"Hong Kong SAR, China",NY.GDP.PCAP.CD,48825.8441873536
HUN,Hungary,NY.GDP.PCAP.CD,18428.028825614
ISL,Iceland,NY.GDP.PCAP.CD,76350.4550416502
IND,India,NY.GDP.PCAP.CD,2347.44829434623
IDN,Indonesia,NY.GDP.PCAP.CD,4730.83484836107
IRN,"Iran, Islamic Rep.",NY.GDP.PCAP.CD,4721.20437099984
IRQ,Iraq,NY.GDP.PCAP.CD,6520.73154560584
IRL,Ireland,NY.GDP.PCAP.CD,105190.685952731
IMN,Isle of Man,NY.GDP.PCAP.CD,88328.548125887
ISR,Israel,NY.GDP.PCAP.CD,54949.621556429
ITA,Italy,NY.GDP.PCAP.CD,35653.9042103495
JAM,Jamaica,NY.GDP.PCAP.CD,6626.47502388538
JPN,Japan,NY.GDP.PCAP.CD,34065.6438962526
JOR,Jordan,NY.GDP.PCAP.CD,4332.25159897931
KAZ,Kazakhstan,NY.GDP.PCAP.CD,11255.3396437881
KEN,Kenya,NY.GDP.PCAP.CD,2109.56288513137
KIR,Kiribati,NY.GDP.PCAP.CD,2069.7671726925
PRK,"Korea, Dem. People's Rep.",NY.GDP.PCAP.CD,
KOR,"Korea, Rep.",NY.GDP.PCAP.CD,34822.4048404971
XKX,Kosovo,NY.GDP.PCAP.CD,5290.95006509706
KWT,Kuwait,NY.GDP.PCAP.CD,39981.7691035833
KGZ,Kyrgyz Republic,NY.GDP.PCAP.CD,1739.72018344174
LAO,Lao PDR,NY.GDP.PCAP.CD,2046.40440255621
LVA,Latvia,NY.GDP.PCAP.CD,20221.103686109
LBN,Lebanon,NY.GDP.PCAP.CD,3654.35845534878
LSO,Lesotho,NY.GDP.PCAP.CD,1030.12582947757
LBR,Liberia,NY.GDP.PCAP.CD,744.617175237387
LBY,Libya,NY.GDP.PCAP.CD,5986.63694851258
LIE,Liechtenstein,NY.GDP.PCAP.CD,188055.003235348
LTU,Lithuania,NY.GDP.PCAP.CD,25085.784063499
LUX,Luxembourg,NY.GDP.PCAP.CD,123719.658915996
MAC,"Macao SAR, China",NY.GDP.PCAP.CD,36806.891255461
MDG,Madagascar,NY.GDP.PCAP.CD,503.51453347296
MWI,Malawi,NY.GDP.PCAP.CD,604.269740360317
MYS,Malaysia,NY.GDP.PCAP.CD,11754.5678336248
MDV,Maldives,NY.GDP.PCAP.CD,11786.0191492983
MLI,Mali,NY.GDP.PCAP.CD,976.914116406452
MLT,Malta,NY.GDP.PCAP.CD,35638.8869457406
MHL,Marshall Islands,NY.GDP.PCAP.CD,6455.66062185762
MRT,Mauritania,NY.GDP.PCAP.CD,1960.35240077424
MUS,Mauritius,NY.GDP.PCAP.CD,10246.5017455553
MEX,Mexico,NY.GDP.PCAP.CD,11405.7940473759
FSM,"Micronesia, Fed. Sts.",NY.GDP.PCAP.CD,3710.12451611752
MDA,Moldova,NY.GDP.PCAP.CD,5744.29618434435
MCO,Monaco,NY.GDP.PCAP.CD,226052.001905201
MNG,Mongolia,NY.GDP.PCAP.CD,4993.51487463495
MNE,Montenegro,NY.GDP.PCAP.CD,10024.5435616209
MAR,Morocco,NY.GDP.PCAP.CD,3463.1376953125
MOZ,Mozambique,NY.GDP.PCAP.CD,578.251663751351
MMR,Myanmar,NY.GDP.PCAP.CD,1158.05005055976
NAM,Namibia,NY.GDP.PCAP.CD,4349.79908493314
NRU,Nauru,NY.GDP.PCAP.CD,12911.9086441381
NPL,Nepal,NY.GDP.PCAP.CD,1385.91066274851
NLD,Netherlands,NY.GDP.PCAP.CD,59123.318556487
NCL,New Caledonia,NY.GDP.PCAP.CD,33516.363085906
NZL,New Zealand,NY.GDP.PCAP.CD,49099.7090423358
NIC,Nicaragua,NY.GDP.PCAP.CD,2322.89053964583
NER,Niger,NY.GDP.PCAP.CD,609.745147574878
NGA,Nigeria,NY.GDP.PCAP.CD,2899.16047470324
MKD,North Macedonia,NY.GDP.PCAP.CD,7606.2375253797
MNP,Northern Mariana Islands,NY.GDP.PCAP.CD,23785.754590043
NOR,Norway,NY.GDP.PCAP.CD,109269.520580298
OMN,Oman,NY.GDP.PCAP.CD,23223.5829405935
PAK,Pakistan,NY.GDP.PCAP.CD,1538.3228133171
PLW,Palau,NY.GDP.PCAP.CD,13729.7602761496
PAN,Panama,NY.GDP.PCAP.CD,17378.6070017557
PNG,Papua New Guinea,NY.GDP.PCAP.CD,3102.28968594061
PRY,Paraguay,NY.GDP.PCAP.CD,6205.62595379319
PER,Peru,NY.GDP.PCAP.CD,7350.63034300417
PHL,Philippines,NY.GDP.PCAP.CD,3548.06930572116
POL,Poland,NY.GDP.PCAP.CD,18891.2121169279
PRT,Portugal,NY.GDP.PCAP.CD,24620.5197587181
PRI,Puerto Rico (US),NY.GDP.PCAP.CD,35353.6821570014
QAT,Qatar,NY.GDP.PCAP.CD,88701.4689763536
ROU,Romania,NY.GDP.PCAP.CD,15503.551804598
RUS,Russian Federation,NY.GDP.PCAP.CD,15619.6142578125
RWA,Rwanda,NY.GDP.PCAP.CD,975.469323735369
WSM,Samoa,NY.GDP.PCAP.CD,4132.44717734444
SMR,San Marino,NY.GDP.PCAP.CD,54190.8417700372
STP,Sao Tome and Principe,NY.GDP.PCAP.CD,2389.73729784737
SAU,Saudi Arabia,NY.GDP.PCAP.CD,38510.2276211037
SEN,Senegal,NY.GDP.PCAP.CD,1574.0281059306
SRB,Serbia,NY.GDP.PCAP.CD,10024.8191112596
SYC,Seychelles,NY.GDP.PCAP.CD,16836.6721895387
SLE,Sierra Leone,NY.GDP.PCAP.CD,860.371067916096
SGP,Singapore,NY.GDP.PCAP.CD,90299.0694637269
SXM,Sint Maarten (Dutch part),NY.GDP.PCAP.CD,37793.1284399157
SVK,Slovak Republic,NY.GDP.PCAP.CD,21317.7943982363
SVN,Slovenia,NY.GDP.PCAP.CD,28360.3041467268
SLB,Solomon Islands,NY.GDP.PCAP.CD,1877.78104490956
SOM,"Somalia, Fed. Rep.",NY.GDP.PCAP.CD,573.141165798229
ZAF,South Africa,NY.GDP.PCAP.CD,6534.24867783397
SSD,South Sudan,NY.GDP.PCAP.CD,
ESP,Spain,NY.GDP.PCAP.CD,30319.4987196616
LKA,Sri Lanka,NY.GDP.PCAP.CD,3342.63650253855
KNA,St. Kitts and Nevis,NY.GDP.PCAP.CD,21011.5744209816
LCA,St. Lucia,NY.GDP.PCAP.CD,13103.8243147472
MAF,St. Martin (French part),NY.GDP.PCAP.CD,
VCT,St. Vincent and the Grenadines,NY.GDP.PCAP.CD,9693.55867833025
SDN,Sudan,NY.GDP.PCAP.CD,1046.24084472656
SUR,Suriname,NY.GDP.PCAP.CD,6084.43876736445
SWE,Sweden,NY.GDP.PCAP.CD,54836.8907235124
CHE,Switzerland,NY.GDP.PCAP.CD,94394.5106803525
SYR,Syrian Arab Republic,NY.GDP.PCAP.CD,1051.67149587463
TJK,Tajikistan,NY.GDP.PCAP.CD,1052.17949484894
TZA,Tanzania,NY.GDP.PCAP.CD,1207.52062988281
THA,Thailand,NY.GDP.PCAP.CD,6909.35281815827
TLS,Timor-Leste,NY.GDP.PCAP.CD,2343.24954740187
TGO,Togo,NY.GDP.PCAP.CD,951.232378690387
TON,Tonga,NY.GDP.PCAP.CD,5298.01941509951
TTO,Trinidad and Tobago,NY.GDP.PCAP.CD,20750.5202434652
TUN,Tunisia,NY.GDP.PCAP.CD,3707.29283414381
TUR,Turkiye,NY.GDP.PCAP.CD,10897.8397861365
TKM,Turkmenistan,NY.GDP.PCAP.CD,5837.84224538947
TCA,Turks and Caicos Islands,NY.GDP.PCAP.CD,31280.5418020808
TUV,Tuvalu,NY.GDP.PCAP.CD,5911.32727055301
UGA,Uganda,NY.GDP.PCAP.CD,963.067314117178
UKR,Ukraine,NY.GDP.PCAP.CD,4199.6708984375
ARE,United Arab Emirates,NY.GDP.PCAP.CD,50759.7589231191
GBR,United Kingdom,NY.GDP.PCAP.CD,47057.043229179
USA,United States,NY.GDP.PCAP.CD,76657.2488844403
URY,Uruguay,NY.GDP.PCAP.CD,20818.6146091144
UZB,Uzbekistan,NY.GDP.PCAP.CD,2578.66689394219
VUT,Vanuatu,NY.GDP.PCAP.CD,3370.21191956953
VEN,"Venezuela, RB",NY.GDP.PCAP.CD,3155.04207099687
VNM,Viet Nam,NY.GDP.PCAP.CD,4147.69777213621
VIR,Virgin Islands (U.S.),NY.GDP.PCAP.CD,44320.909185774
PSE,West Bank and Gaza,NY.GDP.PCAP.CD,3799.95527015163
