iso3,country,region,income_2022,win_probability_AD-electricity,win_probability_AD-bio-CNG,win_probability_Composting,win_probability_Prevention,robust_winning_pathway,max_win_probability
GRC,Greece,Eur. & Cent. Asia,HIC,0.0,0.235,0.0,0.765,Prevention,0.765
GRL,Greenland,Eur. & Cent. Asia,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
HUN,Hungary,Eur. & Cent. Asia,HIC,0.0,0.459,0.0,0.541,Prevention,0.541
ISL,Iceland,Eur. & Cent. Asia,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
IRL,Ireland,Eur. & Cent. Asia,HIC,0.0,0.999,0.001,0.0,AD-bio-CNG,0.999
IMN,Isle of Man,Eur. & Cent. Asia,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
ITA,Italy,Eur. & Cent. Asia,HIC,0.0,0.387,0.0,0.613,Prevention,0.613
KAZ,Kazakhstan,Eur. & Cent. Asia,UMIC,0.246,0.011,0.0,0.743,Prevention,0.743
XKX,Kosovo,Eur. & Cent. Asia,UMIC,0.283,0.0,0.0,0.717,Prevention,0.717
KGZ,Kyrgyz Republic,Eur. & Cent. Asia,LMIC,0.0,0.159,0.0,0.841,Prevention,0.841
LVA,Latvia,Eur. & Cent. Asia,HIC,0.0,0.463,0.0,0.537,Prevention,0.537
LIE,Liechtenstein,Eur. & Cent. Asia,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
LTU,Lithuania,Eur. & Cent. Asia,HIC,0.0,0.371,0.0,0.629,Prevention,0.629
LUX,Luxembourg,Eur. & Cent. Asia,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
MDA,Moldova,Eur. & Cent. Asia,UMIC,0.336,0.192,0.0,0.472,No robust winner,0.472
MCO,Monaco,Eur. & Cent. Asia,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
MNE,Montenegro,Eur. & Cent. Asia,UMIC,0.041,0.324,0.0,0.635,Prevention,0.635
NLD,Netherlands,Eur. & Cent. Asia,HIC,0.0,0.567,0.0,0.433,AD-bio-CNG,0.567
