iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
VUT,Vanuatu,E. Asia & Pacific,LMIC,14952.672477129294,14701.600760859512,500.0,3320.5783378311203,3589.348123882097,2998.979539207732,6010.014391039369,Prevention,6010.014391039369
VNM,Viet Nam,E. Asia & Pacific,LMIC,11589491.802357044,8373407.827202965,415.41,2811530.155647206,3031163.4772746833,2682165.0696756374,3910085.923262824,Prevention,3910085.923262824
ALB,Albania,Eur. & Cent. Asia,UMIC,446211.746173967,350707.7656085401,24.39,100664.69648274282,122748.98802625686,105663.29992409018,160430.54598957323,Prevention,160430.54598957323
AND,Andorra,Eur. & Cent. Asia,HIC,8226.856689609853,205.6714172402463,,,,64.33196259857664,95.26700046568212,Prevention,95.26700046568212
ARM,Armenia,Eur. & Cent. Asia,UMIC,298311.3840000001,297714.7612320001,240.89,76003.26544194102,88694.25023852896,75350.45572230131,105977.10425576755,Prevention,105977.10425576755
AUT,Austria,Eur. & Cent. Asia,HIC,0.0,0.0,140.84,,,,,,
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,1797294.9113208172,1532086.0742063175,671.39,470107.35916772054,473443.6729601591,416646.5835184484,678374.9597560934,Prevention,678374.9597560934
BLR,Belarus,Eur. & Cent. Asia,UMIC,0.0,0.0,439.22,,,,,,
BEL,Belgium,Eur. & Cent. Asia,HIC,3098766.7395,35626.93037795307,139.4,12395.317623011966,14253.765797612254,12591.856591662685,16196.821853355395,Prevention,16196.821853355395
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,0.0,0.0,683.18,,,,,,
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,772338.0725474465,502343.4529608504,476.33,198389.4888944126,208690.4100468438,188303.8984644253,106655.1037808814,AD-bio-CNG,208690.4100468438
CHI,Channel Islands,Eur. & Cent. Asia,HIC,0.0,0.0,,,,,,,
HRV,Croatia,Eur. & Cent. Asia,HIC,682974.6546000001,412614.4708300344,244.68,215674.6015387974,233116.59351035912,214651.0580802475,198037.27420400223,AD-bio-CNG,233116.59351035912
CYP,Cyprus,Eur. & Cent. Asia,HIC,255927.768,211961.35300637237,555.13,71823.70596392044,74600.73406935394,66299.39160686322,98180.4987125517,Prevention,98180.4987125517
CZE,Czech Republic,Eur. & Cent. Asia,HIC,2189387.1870031357,994947.2555614308,488.36,548594.9100421346,567872.3897314213,527710.0748772273,569109.8301811385,Prevention,569109.8301811385
DNK,Denmark,Eur. & Cent. Asia,HIC,2159383.0468753106,23497.616987983583,203.64,14607.807462857496,15691.706973680515,14622.771349647985,7160.027796917638,AD-bio-CNG,15691.706973680515
EST,Estonia,Eur. & Cent. Asia,HIC,158400.0,23545.945945946,487.7,7858.006489494596,8315.678295167476,7364.936432432448,10906.482162162189,Prevention,10906.482162162189
FRO,Faroe Islands,Eur. & Cent. Asia,HIC,0.0,0.0,354.17,,,,,,
FIN,Finland,Eur. & Cent. Asia,HIC,931515.11756096,3416.6539312357486,129.97,1827.9572141794445,2009.2113731757004,1849.2528770456508,1854.7533964917711,AD-bio-CNG,2009.2113731757004
FRA,France,Eur. & Cent. Asia,HIC,9266871.022858456,2360639.575155856,78.55,1253158.2486410604,1389796.0552406055,1277092.381523899,1163179.782355882,AD-bio-CNG,1389796.0552406055
GEO,Georgia,Eur. & Cent. Asia,UMIC,553306.6156381388,553306.6156381388,167.02,216784.61836073973,244211.4333648082,218676.11431586448,279095.29336879146,Prevention,279095.29336879146
DEU,Germany,Eur. & Cent. Asia,HIC,17636664.102796208,245569.7611447904,419.74,134122.45023459222,140463.8001502056,130247.74561358536,140465.90337482013,Prevention,140465.90337482013
GIB,Gibraltar,Eur. & Cent. Asia,HIC,4646.384595128288,,571.43,,,,,,
GRC,Greece,Eur. & Cent. Asia,HIC,2329954.4460773286,1810374.6046020845,376.81,588928.2655838598,642980.2034770948,566267.0725734861,838565.5168516857,Prevention,838565.5168516857
GRL,Greenland,Eur. & Cent. Asia,HIC,0.0,0.0,111.11,,,,,,
HUN,Hungary,Eur. & Cent. Asia,HIC,724708.2999999999,366137.127326,228.9,194664.84360165056,210685.02595465517,194195.4709624371,209430.43683047197,AD-bio-CNG,210685.02595465517
ISL,Iceland,Eur. & Cent. Asia,HIC,0.0,0.0,27.68,,,,,,
IRL,Ireland,Eur. & Cent. Asia,HIC,972147.9833193755,162543.1428109996,331.16,99456.98852595984,105007.20400440406,97986.01067222284,52726.42894199473,AD-bio-CNG,105007.20400440406
IMN,Isle of Man,Eur. & Cent. Asia,HIC,0.0,0.0,,,,,,,
ITA,Italy,Eur. & Cent. Asia,HIC,10080804.57,2231202.563042074,377.84,1023825.914982907,1090226.480108224,995722.4780065432,1182405.341357395,Prevention,1182405.341357395
KAZ,Kazakhstan,Eur. & Cent. Asia,UMIC,1205519.0515353277,1071465.7267506146,831.01,385523.0778288601,371786.3660372901,335143.7646703246,496302.92463088466,Prevention,496302.92463088466
XKX,Kosovo,Eur. & Cent. Asia,UMIC,210420.00000000003,204960.0000000001,945.01,75521.33623012065,70698.20047909571,64109.4384,94937.47200000002,Prevention,94937.47200000002
