iso3,region,country,income_generation_year,income_2022,gdp,population_generation_year,msw_year_reported,msw_tpy,msw_kg_cap_day,msw_2022_tpy,population_2022,msw_2030_tpy,population_2030,msw_2040_tpy,population_2040,msw_2050_tpy,population_2050,food_pct,green_pct,wood_pct,collection_total_population_pct,collection_total_weight_pct,treatment_open_dump_pct,treatment_controlled_landfill_pct,treatment_sanitary_landfill_pct,treatment_unspecified_landfill_pct,treatment_anaerobic_digestion_pct,treatment_composting_pct,treatment_recycling_pct,treatment_incineration_pct,treatment_mbt_pct,treatment_rdf_pct,treatment_other_pct,treatment_uncollected_pct,treatment_unaccounted_pct,food_frac,green_frac,wood_frac,collection_total_population_frac,collection_total_weight_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_composting_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_wood_frac,ofmsw_food_green_tpy_tpy,ofmsw_food_green_wood_tpy_tpy,ofmsw_food_green_2022_tpy,ofmsw_food_green_wood_2022_tpy,ofmsw_food_green_2030_tpy,ofmsw_food_green_wood_2030_tpy,ofmsw_food_green_2040_tpy,ofmsw_food_green_wood_2040_tpy,ofmsw_food_green_2050_tpy,ofmsw_food_green_wood_2050_tpy,landfill_dump_uncollected_frac,known_diversion_or_treatment_frac,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy
JPN,E. Asia & Pacific,Japan,HIC,HIC,4262463317797.0,125324442.0,2022.0,40344000.0,0.8819628883670997,40343999.99999999,125324442.0,40214641.749543846,119948756.0,39244460.94279097,112525652.0,38088782.670152836,105458719.0,0.283,,,0.9999,0.9999,,,0.00837649624544621,,0.00337042452479492,0.00428737825580531,0.157146043468563,0.771703303511685,,0.0121682238358405,0.0428490000247825,0.000148695199623306,,0.283,,,0.9999,0.9999,,,0.00837649624544621,,0.00337042452479492,0.00428737825580531,0.157146043468563,0.771703303511685,,0.0121682238358405,0.0428490000247825,0.000148695199623306,,0.283,0.283,11417351.999999998,11417351.999999998,11417351.999999996,11417351.999999996,11380743.615120906,11380743.615120906,11106182.446809843,11106182.446809843,10779125.495653251,10779125.495653251,0.008525191445069517,0.9915243736214713,97335.11159574731
KIR,E. Asia & Pacific,Kiribati,LMIC,LMIC,285259894.0,127351.0,2021.0,14263.312,0.30684931506849317,14747.376758829449,129402.99999999999,18442.42649041588,145180.0,21433.03146782137,163808.0,24498.06696881218,181780.0,0.6679,,,0.54,0.5307,,,,0.528158334629084,,,0.00254166537091569,,,,,0.4693,,0.6679,,,0.54,0.5307,,,,0.528158334629084,,,0.00254166537091569,,,,,0.4693,,0.6679,0.6679,9526.4660848,9526.4660848,9849.77293722219,9849.77293722219,12317.696652948767,12317.696652948767,14315.121717357893,14315.121717357893,16362.258928469657,16362.258928469657,0.997458334629084,0.00254166537091569,9824.738110436265
KOR,E. Asia & Pacific,"Korea, Rep.",HIC,HIC,1673916511799.71,51805631.0,2022.0,23038561.400207,1.2183877521332958,23038561.400206998,51805631.0,23955080.16353319,51255051.0,23826399.94086626,49103340.0,22596401.582020294,45373929.0,0.242451590035731,,0.0531613895682304,0.999734745102489,,,,0.10227826117558,,,0.214086809559024,0.38431288808126,0.240038498598715,,,0.0592838231638773,,,0.242451590035731,,0.0531613895682304,0.999734745102489,,,,0.10227826117558,,,0.214086809559024,0.38431288808126,0.240038498598715,,,0.0592838231638773,,,0.242451590035731,0.2956129796039614,5585735.843616005,6810497.781304005,5585735.843616004,6810497.781304003,5807947.27508202,7081432.623793797,5776748.550490272,7043393.079755125,5478533.492646728,6679789.599988686,0.10227826117558,0.8977220194028763,571299.3494711564
LAO,E. Asia & Pacific,Lao PDR,LMIC,LMIC,14426380125.65,6748779.0,2015.0,351893.0,0.14285404974127974,455560.94062532345,7505704.0,592600.5155297098,8311151.0,811924.7199092429,9134041.0,1040193.3016804951,9733998.0,,,,,0.55,0.55,,,,,,,,,,,0.45,,,,,,0.55,0.55,,,,,,,,,,,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
MAC,E. Asia & Pacific,"Macao SAR, China",HIC,HIC,24999113476.0,699757.0,2022.0,443038.96,1.7346098286448206,443038.96,699757.0,559757.522706157,726480.0,562128.3971377749,708422.0,540195.2269826562,670881.0,0.38,,0.023,1.0,,,,,,,0.00114098317673913,0.0128780096450208,0.98598100717824,,,,,,0.38,,0.023,1.0,,,,,,,0.00114098317673913,0.0128780096450208,0.98598100717824,,,,,,0.38,0.403,168354.8048,178544.70088000002,168354.8048,178544.70088000002,212707.85862833963,225582.28165058125,213608.79091235445,226537.7440465233,205274.18625340934,217698.67647401046,,0.9999999999999999,
MYS,E. Asia & Pacific,Malaysia,UMIC,UMIC,314443047642.0,29409588.0,2012.0,13963724.0,1.3008267263788864,18451974.736524493,34482632.0,22216702.69907533,37767553.0,26081974.67786611,41348543.0,28959095.36449629,44178897.0,0.36,0.04,,,,,0.140843419188342,0.0254416093693227,,,,0.00123192419620067,0.00187001832034306,,,,,0.830608871932342,0.36,0.04,,,,,0.140843419188342,0.0254416093693227,,,,0.00123192419620067,0.00187001832034306,,,,,0.830608871932342,0.39999999999999997,0.39999999999999997,5585489.6,5585489.6,7380789.894609797,7380789.894609797,8886681.07963013,8886681.07963013,10432789.871146442,10432789.871146442,11583638.145798516,11583638.145798516,0.9968939004900067,0.00310194251654373,7357864.426734786
MHL,E. Asia & Pacific,Marshall Islands,UMIC,UMIC,232900000.0,44652.0,2019.0,21187.374,1.3,20050.525195626382,40682.0,14567.018768428197,31595.0,13417.84087647658,26707.0,13678.292366735905,25244.0,0.0826758633722304,,,0.827,,,,,0.388020329311914,,,,,,,0.438979670688086,0.173,,0.0826758633722304,,,0.827,,,,,0.388020329311914,,,,,,,0.438979670688086,0.173,,0.0826758633722304,0.0826758633722304,1751.6844380403468,1751.6844380403468,1657.69448161507,1657.69448161507,1204.3408534392856,1204.3408534392856,1109.3315790539061,1109.3315790539061,1130.8646308776797,1130.8646308776797,0.561020329311914,0.438979670688086,930.0003039742292
FSM,E. Asia & Pacific,"Micronesia, Fed. Sts.",LMIC,LMIC,415956896.0,111859.0,2022.0,27375.0,0.6704869523239078,27375.0,111859.0,29403.2686722648,116074.0,39315.63093088974,121445.0,42073.6234928206,126179.0,0.1784,,,,0.3551,,,,,,,,,,,,0.6449,0.3551,0.1784,,,,0.3551,,,,,,,,,,,,0.6449,0.3551,0.1784,0.1784,4883.7,4883.7,4883.7,4883.7,5245.54313113204,5245.54313113204,7013.90855807073,7013.90855807073,7505.934431119195,7505.934431119195,1.0,,4883.7
MNG,E. Asia & Pacific,Mongolia,LMIC,LMIC,14206359017.51,3199569.0,2019.0,1612000.0,1.3803228985417673,1662827.3450042224,3362435.0,2075425.4122055043,3687276.0,2607961.067980198,4074235.0,3168241.8043518085,4484156.0,0.292,,,,0.880139081910385,,,,0.702973414743531,,,0.0874137818417429,,,,0.000909529763671705,0.2087,,0.292,,,,0.880139081910385,,,,0.702973414743531,,,0.0874137818417429,,,,0.000909529763671705,0.2087,,0.292,0.292,470703.99999999994,470703.99999999994,485545.5847412329,485545.5847412329,606024.2203640072,606024.2203640072,761524.6318502178,761524.6318502178,925126.6068707281,925126.6068707281,0.911673414743531,0.0883233116054146,442659.00125468435
MMR,E. Asia & Pacific,Myanmar,LMIC,LMIC,75065106227.69,52456126.0,2019.0,7475200.0,0.390421511493243,6487191.731538978,53566461.0,7258857.497157598,56221653.0,9536283.806770744,58114558.0,12011262.066351894,58630433.0,0.182,0.541,,,0.83,0.18,0.3,0.03,,,,0.11,,,,,0.38,,0.182,0.541,,,0.83,0.18,0.3,0.03,,,,0.11,,,,,0.38,,0.7230000000000001,0.7230000000000001,5404569.600000001,5404569.600000001,4690239.621902682,4690239.621902682,5248153.970444944,5248153.970444944,6894733.192295249,6894733.192295249,8684142.473972421,8684142.473972421,0.89,0.11,4174313.263493387
NRU,E. Asia & Pacific,Nauru,HIC,HIC,124530027.0,11626.0,2020.0,569.674,0.13424657534246573,603.023643843165,11757.0,752.1648274185405,12461.0,953.4303757531889,13947.0,1177.8036837643426,15683.0,0.1248,,,1.0,0.86,,,,,,,,,,,,0.14,0.86,0.1248,,,1.0,0.86,,,,,,,,,,,,0.14,0.86,0.1248,0.1248,71.09531519999999,71.09531519999999,75.25735075162699,75.25735075162699,93.87017046183385,93.87017046183385,118.98811089399797,118.98811089399797,146.98989973378994,146.98989973378994,1.0,,75.25735075162699
NCL,E. Asia & Pacific,New Caledonia,HIC,HIC,9623318718.31,288470.0,2023.0,112661.95850000001,1.07,111072.4302725195,285776.0,122807.0935981301,306437.0,133751.47863687307,326687.0,141541.82459996713,340136.0,,,,0.67,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
NZL,E. Asia & Pacific,New Zealand,HIC,HIC,249509991440.0,5112112.0,2022.0,3601300.0,1.9300389628524872,3601300.0000000005,5112112.0,3941444.4341398003,5394543.0,4277400.713767691,5608263.0,4534129.465488616,5749747.0,0.0901,0.0574,0.1262,,1.0,,,,0.908,,,0.092,,,,,,,0.0901,0.0574,0.1262,,1.0,,,,0.908,,,0.092,,,,,,,0.1475,0.2737,531191.75,985675.8099999999,531191.75,985675.8100000002,581363.0540356205,1078773.3416240634,630916.6052807344,1170724.575358217,668784.0961595709,1240991.2347042344,0.908,0.092,482322.109
MNP,E. Asia & Pacific,Northern Mariana Islands,HIC,HIC,1096000000.0,46538.0,2022.0,29340.093636363632,1.727272727272727,29340.093636363632,46538.0,27209.040848834095,41856.0,27977.624686845582,42128.0,28882.686450572408,42789.0,0.154570214760775,,,,,,,,0.849975411455695,,,,0.000583219741568334,,,,,0.149441368802736,0.154570214760775,,,,,,,,0.849975411455695,,,,0.000583219741568334,,,,,0.149441368802736,0.154570214760775,0.154570214760775,4535.104574473975,4535.104574473975,4535.104574473975,4535.104574473975,4205.707287438986,4205.707287438986,4324.507456342082,4324.507456342082,4464.403047533104,4464.403047533104,0.9994167802584311,0.000583219741568334,4532.459611956062
PLW,E. Asia & Pacific,Palau,HIC,UMIC,285600000.0,17803.0,2017.0,13048.17476,2.008,11425.023854291061,17770.0,12563.701790894333,17410.0,12275.778048184637,16643.0,11725.989165016812,15573.0,0.53,0.02,,0.92,0.908,,,,0.826,,,0.082,,,,,0.088,0.004,0.53,0.02,,0.92,0.908,,,,0.826,,,0.082,,,,,0.088,0.004,0.55,0.55,7176.496118000001,7176.496118000001,6283.763119860084,6283.763119860084,6910.035984991883,6910.035984991883,6751.67792650155,6751.67792650155,6449.294040759247,6449.294040759247,0.9179999999999999,0.082,5768.494544031557
PNG,E. Asia & Pacific,Papua New Guinea,LMIC,LMIC,24750626030.0,9502191.0,2019.0,1630100.8660499998,0.47,1661789.9480580867,10110130.0,2084980.4086252109,11582360.0,3095738.9697804865,13294892.0,3558295.169884047,14836287.0,0.4018,,,,0.1233,,,,0.1233,,,,,,,,0.8767,,0.4018,,,,0.1233,,,,0.1233,,,,,,,,0.8767,,0.4018,0.4018,654974.5279788899,654974.5279788899,667707.2011297392,667707.2011297392,837745.1281856097,837745.1281856097,1243867.9180577996,1243867.9180577996,1429722.99925941,1429722.99925941,1.0,,667707.2011297392
