iso3,country_wdi,gdp_current_usd_2022,gdp_per_capita_current_usd_2022,population_wdi_2022,urban_population_pct_2022
BIH,Bosnia and Herzegovina,24534663636.1778,7655.59421024383,3204802.0,51.0215287060993
BLR,Belarus,73775179924.603,7994.64806074889,9228071.0,78.4732787892908
BLZ,Belize,2846604350.0,7068.21728043145,402733.0,42.1373251262137
BMU,Bermuda,7874381000.0,121613.939983629,64749.0,100.0
BOL,Bolivia,50959081953.6903,4219.46113742445,12077154.0,70.6352598708131
BRA,Brazil,1951923832083.87,9281.33282136864,210306415.0,87.349556243881
BRB,Barbados,6884900000.0,24387.0387293761,282318.0,59.3538514107686
BRN,Brunei Darussalam,16681536466.7183,36632.9280952155,455370.0,74.7772642014221
BTN,Bhutan,2898227743.75576,3711.32767981591,780914.0,40.9365143617581
BWA,Botswana,20321150599.1523,8328.7090572666,2439892.0,66.5889787170477
CAF,Central African Republic,2382618615.01694,467.359825026238,5098039.0,43.2751967457285
CAN,Canada,2190411080134.32,56256.8007264015,38935934.0,82.3500897353968
CEB,Central Europe and the Baltics,1954419184114.96,19530.1553232172,100071871.0,61.5935240282645
CHE,Switzerland,828508926958.393,94394.5106803525,8777088.0,84.9206266284521
CHI,Channel Islands,11308272505.183,67627.1417347907,167215.0,32.7920439098264
CHL,Chile,301226575540.242,15405.6165774073,19553036.0,88.6395352768685
CHN,China,18316765021690.2,12970.6056414327,1412175000.0,65.2176361083984
CIV,Cote d'Ivoire,70922824813.9102,2333.37128301259,30395002.0,52.8492549676673
CMR,Cameroon,44347206072.5513,1604.87726954895,27632771.0,54.8458745688318
COD,"Congo, Dem. Rep.",70422346142.2023,687.738587554685,102396968.0,44.003287663813
COG,"Congo, Rep.",15817030154.6941,2620.83804267402,6035104.0,63.6422003342807
COL,Colombia,345632492851.448,6680.44506854481,51737944.0,78.0464633137335
COM,Comoros,1222485532.31976,1465.479642862,834188.0,32.7746035528748
CPV,Cabo Verde,2247003344.34242,4323.31362032709,519741.0,75.033738060849
CRI,Costa Rica,69243626028.5936,13625.9008491328,5081765.0,78.4405687613972
CSS,Caribbean small states,78506430710.7309,17456.3084845676,4497310.0,50.1314448681558
CUB,Cuba,,,11059820.0,77.1056060791016
CUW,Curacao,3075180834.72417,20057.1404747175,153321.0,91.4007684350799
CYM,Cayman Islands,6660161212.01997,93030.7051447803,71591.0,100.0
CYP,Cyprus,31218038929.0919,33231.04296875,1331370.0,66.6694829407584
CZE,Czechia,301831228325.556,28282.2236715857,10672118.0,72.6967638379524
DEU,Germany,4201021706478.62,50506.5179638543,83177813.0,81.7867852780995
DJI,Djibouti,3562814908.76149,3133.25779772463,1137096.0,72.6109938538856
DMA,Dominica,623062962.962963,9323.66089490562,66826.0,72.682648635692
DNK,Denmark,400114306337.077,67781.0940939514,5903037.0,88.3880239837703
DOM,Dominican Republic,113478087134.8,10104.2449349081,11230734.0,72.4203155643711
DZA,Algeria,225581644702.568,4960.30334332888,45477389.0,74.1795862354514
EAP,East Asia & Pacific (excluding high income),21563881384135.8,10106.9935977814,2133560408.0,60.8593968560328
EAR,Early-demographic dividend,14034689936337.3,4043.82776331568,3470644834.0,46.6969243405166
EAS,East Asia & Pacific,31266291368260.6,13139.2109813612,2379617118.0,63.6828244393002
ECA,Europe & Central Asia (excluding high income),1820242864725.09,7266.02243154199,250514347.0,68.1628939259503
ECS,Europe & Central Asia,25798700454390.6,27913.5882331645,924234471.0,73.7292682667978
ECU,Ecuador,116133121000.0,6515.58528418336,17823897.0,63.0901835932266
EGY,"Egypt, Arab Rep.",476747720364.742,4233.30783744856,112618250.0,42.6325129008032
EMU,Euro area,14488160081806.7,41608.7123275598,348200155.0,77.1544577812445
ERI,Eritrea,,,3409447.0,34.8469276428223
