iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,ad_screen_avoided_grid_tco2e,ad_screen_grid_credit_share,compost_screen_net_gwp100_benefit_tco2e,ad_minus_compost_tco2e,best_screening_pathway
ALB,Albania,Eur. & Cent. Asia,UMIC,446211.746173967,350707.7656085401,24.39,103416.45280300532,1249.709302032286,0.0120842406421811,102166.74350097304,1249.709302032279,AD
AND,Andorra,Eur. & Cent. Asia,HIC,8226.856689609853,205.6714172402463,,,,,62.281418568691386,,AD
ARM,Armenia,Eur. & Cent. Asia,UMIC,298311.3840000001,297714.7612320001,240.89,82860.0601858362,10477.820633017933,0.1264520036495094,72382.23955281827,10477.820633017938,AD
AUT,Austria,Eur. & Cent. Asia,HIC,0.0,0.0,140.84,,0.0,,,,
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,1797294.9113208172,1532086.0742063175,671.39,551654.6843772933,150282.9990186819,0.2724222294755297,401371.6853586114,150282.99901868193,AD
BLR,Belarus,Eur. & Cent. Asia,UMIC,0.0,0.0,439.22,,0.0,,,,
BEL,Belgium,Eur. & Cent. Asia,HIC,3098766.7395,35626.93037795307,139.4,12962.248952497152,725.5928567026627,0.0559773893682915,12236.656095794491,725.5928567026604,AD
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,0.0,0.0,683.18,,0.0,,,,
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,772338.0725474465,502343.4529608504,476.33,218254.6549756551,34959.12073724955,0.1601758310316405,183295.5342384056,34959.1207372495,AD
CHI,Channel Islands,Eur. & Cent. Asia,HIC,0.0,0.0,,,,,,,
HRV,Croatia,Eur. & Cent. Asia,HIC,682974.6546000001,412614.4708300344,244.68,225287.3843995921,14750.092593520048,0.0654723416174863,210537.29180607203,14750.092593520065,AD
CYP,Cyprus,Eur. & Cent. Asia,HIC,255927.768,211961.35300637237,555.13,81377.218471783,17191.08155439331,0.2112517714076723,64186.13691738968,17191.081554393313,AD
CZE,Czech Republic,Eur. & Cent. Asia,HIC,2189387.1870031357,994947.2555614308,488.36,588779.5986241357,70989.14788485589,0.1205699858669421,517790.45073927986,70989.14788485586,AD
DNK,Denmark,Eur. & Cent. Asia,HIC,2159383.0468753106,23497.616987983583,203.64,15087.59918500407,699.0990767262822,0.0463360053613522,14388.500108277787,699.0990767262829,AD
EST,Estonia,Eur. & Cent. Asia,HIC,158400.0,23545.945945946,487.7,8807.908126960698,1677.7247756093327,0.1904793682479357,7130.183351351367,1677.7247756093311,AD
FRO,Faroe Islands,Eur. & Cent. Asia,HIC,0.0,0.0,354.17,,0.0,,,,
FIN,Finland,Eur. & Cent. Asia,HIC,931515.11756096,3416.6539312357486,129.97,1880.0666098536165,64.87777250238614,0.0345082308054168,1815.1888373512304,64.87777250238605,AD
FRA,France,Eur. & Cent. Asia,HIC,9266871.022858456,2360639.575155856,78.55,1280647.9706654612,27091.16570586606,0.0211542643461877,1253556.8049595952,27091.165705865948,AD
GEO,Georgia,Eur. & Cent. Asia,UMIC,553306.6156381388,553306.6156381388,167.02,226661.2761016613,13501.628743709094,0.05956742579025,213159.6473579522,13501.628743709094,AD
DEU,Germany,Eur. & Cent. Asia,HIC,17636664.102796208,245569.7611447904,419.74,142858.7941766592,15059.3790816874,0.1054144350614143,127799.41509497182,15059.37908168738,AD
GIB,Gibraltar,Eur. & Cent. Asia,HIC,4646.384595128288,,571.43,,,,,,
GRC,Greece,Eur. & Cent. Asia,HIC,2329954.4460773286,1810374.6046020845,376.81,647882.6417289329,99665.00396332958,0.1538318787139667,548217.6377656033,99665.0039633296,AD
GRL,Greenland,Eur. & Cent. Asia,HIC,0.0,0.0,111.11,,0.0,,,,
HUN,Hungary,Eur. & Cent. Asia,HIC,724708.2999999999,366137.127326,228.9,202789.59301131745,12244.509208320562,0.0603803628504605,190545.0838029969,12244.509208320553,AD
ISL,Iceland,Eur. & Cent. Asia,HIC,0.0,0.0,27.68,,0.0,,,,
IRL,Ireland,Eur. & Cent. Asia,HIC,972147.9833193755,162543.1428109996,331.16,104229.72428558268,7864.268747185498,0.0754513052882871,96365.45553839716,7864.268747185517,AD
IMN,Isle of Man,Eur. & Cent. Asia,HIC,0.0,0.0,,,,,,,
ITA,Italy,Eur. & Cent. Asia,HIC,10080804.57,2231202.563042074,377.84,1096645.633203582,123168.24475056856,0.1123136234909016,973477.3884530136,123168.2447505683,AD
KAZ,Kazakhstan,Eur. & Cent. Asia,UMIC,1205519.0515353277,1071465.7267506146,831.01,454548.9867396106,130087.7353649896,0.286190793863788,324461.251374621,130087.73536498961,AD
XKX,Kosovo,Eur. & Cent. Asia,UMIC,210420.00000000003,204960.0000000001,945.01,90364.09106578396,28298.10386578396,0.3131565152930413,62065.9872,28298.103865783953,AD
KGZ,Kyrgyz Republic,Eur. & Cent. Asia,LMIC,634065.9502176,634065.9502176,146.89,169052.5764604837,13607.504368937782,0.0804927357739416,155445.0720915459,13607.504368937778,AD
