iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
AUT,Austria,Eur. & Cent. Asia,HIC,Vienna,vien,1961780.0,2005497.0,2023.0,1112329.0,1.553,0.326516545701426,0.0257025288972519,0.0161824610740059,,,,,0.05386,,0.01836,0.08773,0.19114,0.64891,,,,,,0.3522190745986779,391783.4910292728,0.05386,21101.45882683663,0.10609,34000.0,154700.0,20422.36044,97584.62317,True,True,,,,,,Missing/insufficient data,0.0,0.02110145882683663,0.3917834910292728
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,Baku,baku,3000000.0,2341443.0,2020.0,626000.0,0.572,,,,0.0079,,,,,,,,,0.8,,,,0.2,,,,0.2,,,,,,,False,False,Prevention,678374.9597560934,0.7280045269487914,0.7597664261309792,Immediate priority,Prevention,0.827,,
BHR,Bahrain,Mid. East & N. Africa,HIC,Manama,mama,,743066.0,2023.0,182500.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,False,False,Prevention,211321.7212107576,0.5842545571762999,0.8854274078012984,No-regret / complementary,Prevention,0.729,,
BGD,Bangladesh,S. Asia,LMIC,Dhaka,dhka,10278882.0,21005860.0,2019.0,2740420.0,0.73,0.8105,,,,0.89,0.745,,,,,,0.1,,,,,0.11,,0.8105,2221110.41,0.855,1899049.40055,,,,,,False,False,Prevention,2100472.5002956856,0.8673050069749466,0.6588489107297351,Immediate priority,Prevention,0.615,1.8990494005499998,2.22111041
BLR,Belarus,Eur. & Cent. Asia,UMIC,Grodno,grod,,,,,,,,,,,,,,0.957,,,0.043,,,,,,,,,0.957,,,,,,,False,False,,,,,,Missing/insufficient data,0.0,,
BLR,Belarus,Eur. & Cent. Asia,UMIC,Minsk,mink,1900000.0,2028104.0,2019.0,594700.0,0.858,0.4,,0.0625,,,,,,0.83,,,0.17,,,,,,,0.4,237880.0,0.83,197440.4,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.1974404,0.23788
BEL,Belgium,Eur. & Cent. Asia,HIC,Brussels,brus,1266667.0,2002441.0,2017.0,475000.0,1.027,,,,,1.0,,,0.002,,,,0.354,0.644,,,0.0,,,,,0.002,,,,,,,False,False,Prevention,16196.821853355395,0.2676760273225788,0.8784433580957979,No-regret / complementary,Prevention,0.651,,
BEL,Belgium,Eur. & Cent. Asia,HIC,Liege,lieg,195346.0,677589.0,2020.0,101579.92,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Prevention,16196.821853355395,0.2676760273225788,0.8784433580957979,No-regret / complementary,Prevention,0.651,,
BLZ,Belize,L. Amer. & the Caribbean,UMIC,Belize City,bzec,57169.0,,2019.0,19292.61,0.925,0.4263,0.0637,,0.01,,,,0.9,,,,,,,,,,0.1,0.49,9453.3789,1.0,9453.3789,,,,,,False,False,Prevention,18610.784933934538,0.2847988276354339,0.6991532054904965,No-regret / complementary,Prevention,0.909,0.0094533789,0.0094533789
BLZ,Belize,L. Amer. & the Caribbean,UMIC,San Pedro,spro,19477.0,358418.0,2018.0,7665.0,1.078,0.4046,0.06,,,,,,,,,,,,,,,,,0.4646,3561.159,,,,,,,,False,False,Prevention,18610.784933934538,0.2847988276354339,0.6991532054904965,No-regret / complementary,Prevention,0.909,,0.003561159
