iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,ad_screen_avoided_landfill_gwp20_tco2e,bio_cng_screen_avoided_landfill_gwp20_tco2e,compost_screen_avoided_landfill_gwp20_tco2e,prevention_screen_avoided_landfill_gwp20_tco2e,ad_screen_net_gwp20_benefit_tco2e,bio_cng_screen_net_gwp20_benefit_tco2e,compost_screen_net_gwp20_benefit_tco2e,prevention_screen_net_gwp20_benefit_tco2e,best_four_pathway_screen_gwp20,best_four_pathway_benefit_gwp20_tco2e
MYS,Malaysia,E. Asia & Pacific,UMIC,7380789.894609797,7357864.426734786,604.04,97086.57422269927,337606.10721998016,218643.3561590802,97086.57422269927,480191.5626681075,79999.99970984783,218643.3561590802,97086.57422269927,100140.53484786044,43688.95840021469,1986623.3952183928,7844595.197194101,7844595.197194101,7844595.197194101,3530067.8387373467,7963557.948255002,8026143.403993282,7744454.662346241,5516691.233955739,AD-bio-CNG,8026143.403993282
MHL,Marshall Islands,E. Asia & Pacific,UMIC,1657.69448161507,930.0003039742292,,10.01287906641312,,27.635517032776605,10.01287906641312,60.69401029251895,,27.635517032776605,10.01287906641312,12.65730413708926,5.006439533206561,279.0000911922688,809.0406285661801,809.0406285661801,809.0406285661801,404.5203142830901,,,796.3833244290909,683.520405475359,Composting,796.3833244290909
FSM,"Micronesia, Fed. Sts.",E. Asia & Pacific,LMIC,4883.7,4883.7,,46.00640748000001,,145.12207572,46.00640748000001,318.72176471222804,,145.12207572,46.00640748000001,66.46715699999999,23.003203740000004,1465.11,3717.3177243840005,3717.3177243840005,3717.3177243840005,1858.6588621920002,,,3650.8505673840004,3323.768862192,Composting,3650.8505673840004
MNG,Mongolia,E. Asia & Pacific,LMIC,485545.5847412329,442659.0012546843,814.19,4906.574560914229,27377.127453795347,13153.8778176837,4906.574560914229,28888.969028737505,6487.353580167925,13153.8778176837,4906.574560914229,6024.589007076253,2453.287280457115,132797.70037640532,396451.2245218697,396451.2245218697,396451.2245218697,198225.61226093487,410674.47415798134,405698.9621527556,390426.63551479345,331023.31263734016,AD-electricity,410674.47415798134
MMR,Myanmar,E. Asia & Pacific,LMIC,4690239.621902682,4174313.263493387,563.87,57897.75372453662,178795.60573205716,124042.22321266412,57897.75372453662,272425.5154498171,42367.86035794829,124042.22321266412,57897.75372453662,56812.403516145,7287.269140985935,315238.5950024051,4678138.500942559,4678138.500942559,4678138.500942559,588811.3465916635,4732891.883461952,4784153.932821764,4621326.097426414,904049.9415940687,AD-bio-CNG,4784153.932821764
NRU,Nauru,E. Asia & Pacific,HIC,75.25735075162699,75.25735075162699,750.0,0.8609440925986125,4.287488847597344,2.236317331995047,0.8609440925986125,4.911471965748444,1.0159742351469645,2.236317331995047,0.8609440925986125,1.0242525437296433,0.4304720462993062,22.577205225488097,69.56428268196788,69.56428268196788,69.56428268196788,34.78214134098394,71.61545419757017,71.2234630805743,68.54003013823824,57.35934656647204,AD-electricity,71.61545419757017
NCL,New Caledonia,E. Asia & Pacific,HIC,0.0,,566.34,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,E. Asia & Pacific,HIC,531191.75,482322.109,103.12,6538.65280784,3778.0951232604793,14332.490862200402,6538.65280784,31477.476859799663,895.2670058414401,14332.490862200402,6538.65280784,6564.403903490001,1997.0597219877425,88387.57021200002,528323.1468734719,528323.1468734719,528323.1468734719,161362.42553660957,517768.75113453204,544572.8658652297,521758.7429699819,249749.9957486096,AD-bio-CNG,544572.8658652297
MNP,Northern Mariana Islands,E. Asia & Pacific,HIC,4535.104574473975,4532.459611956062,,54.38951534347274,,134.68475684504156,54.38951534347274,295.7989897023847,,134.68475684504156,54.38951534347274,61.686775318722006,27.194757671736372,1359.7378835868187,4394.672839752597,4394.672839752597,4394.672839752597,2197.336419876299,,,4332.986064433875,3557.0743034631178,Composting,4332.986064433875
PLW,Palau,E. Asia & Pacific,UMIC,6283.763119860084,5768.494544031557,,67.82229293940233,,171.41427647262415,67.82229293940233,376.46554063652496,,171.41427647262415,67.82229293940233,78.5092107442695,32.678013870802936,1667.619331820032,5480.0412695037085,5480.0412695037085,5480.0412695037085,2640.383520760877,,,5401.532058759439,4308.002852580909,Composting,5401.532058759439
