iso3,country,region,income_2022,best_four_pathway_screen,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,scenario,adjusted_first_pass_ch4_total_tpy,methane_adjustment_ratio,first_pass_ch4_total_tpy,ad_capture_sens_net_gwp100_benefit_tco2e,bio_cng_capture_sens_net_gwp100_benefit_tco2e,compost_capture_sens_net_gwp100_benefit_tco2e,prevention_capture_sens_net_gwp100_benefit_tco2e,best_pathway_landfill_capture_sensitivity
MNG,Mongolia,E. Asia & Pacific,LMIC,Prevention,4906.574560914229,27377.127453795347,13153.8778176837,4906.574560914229,28888.969028737505,6487.353580167925,13153.8778176837,4906.574560914229,6024.589007076253,2453.287280457115,132797.70037640532,low_capture,11268.058911956945,0.9186090028443304,12266.436402285572,136819.7305982032,131844.21859297744,116571.89195501531,194095.94085745112,Prevention
MMR,Myanmar,E. Asia & Pacific,LMIC,AD-bio-CNG,57897.75372453662,178795.60573205716,124042.22321266412,57897.75372453662,272425.5154498171,42367.86035794829,124042.22321266412,57897.75372453662,56812.403516145,7287.269140985935,315238.5950024051,low_capture,132020.6497187909,0.9120951417004047,144744.38431134154,1491138.0514598382,1542400.1008196496,1379572.2654243,496028.36661178333,AD-bio-CNG
NRU,Nauru,E. Asia & Pacific,HIC,Prevention,0.8609440925986125,4.287488847597344,2.236317331995047,0.8609440925986125,4.911471965748444,1.0159742351469645,2.236317331995047,0.8609440925986125,1.0242525437296433,0.4304720462993062,22.577205225488097,low_capture,2.152360231496531,1.0,2.152360231496531,25.46885083428456,25.076859717288695,22.393426774952616,34.286044884829224,Prevention
NCL,New Caledonia,E. Asia & Pacific,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
NZL,New Zealand,E. Asia & Pacific,HIC,AD-bio-CNG,6538.65280784,3778.0951232604793,14332.490862200402,6538.65280784,31477.476859799663,895.2670058414401,14332.490862200402,6538.65280784,6564.403903490001,1997.0597219877425,88387.57021200002,low_capture,14752.835397688998,0.9025,16346.632019599998,149956.45338791638,176760.56811861412,153946.44522336632,137411.3922673551,AD-bio-CNG
MNP,Northern Mariana Islands,E. Asia & Pacific,HIC,Prevention,54.38951534347274,,134.68475684504156,54.38951534347274,295.7989897023847,,134.68475684504156,54.38951534347274,61.686775318722006,27.194757671736372,1359.7378835868187,low_capture,124.69871078188372,0.917079036240015,135.97378835868184,,,1295.0351979881725,2038.098870240266,Prevention
PLW,Palau,E. Asia & Pacific,UMIC,Prevention,67.82229293940233,,171.41427647262415,67.82229293940233,376.46554063652496,,171.41427647262415,67.82229293940233,78.5092107442695,32.678013870802936,1667.619331820032,low_capture,154.18982360354676,0.9093754688672165,169.5557323485058,,,1599.076070062319,2475.9104216632063,Prevention
PNG,Papua New Guinea,E. Asia & Pacific,LMIC,Prevention,5670.970800635102,26851.65227368407,19841.32010589088,5670.970800635102,43576.14461476607,6362.835648301714,19841.32010589088,5670.970800635102,9087.49500737575,2835.485400317551,200312.1603389218,low_capture,13936.616730232308,0.9830145292704752,14177.427001587752,158640.7221927207,169002.37888550098,142542.89501755178,276127.35535138554,Prevention
PHL,Philippines,E. Asia & Pacific,LMIC,Prevention,93046.90048935736,417534.99026546185,271094.2501550659,93046.90048935736,595385.9010359584,98940.15062447728,271094.2501550659,93046.90048935736,124163.49475058376,46523.450244678694,2736888.201702802,low_capture,232617.2512233934,1.0,232617.2512233934,2677316.433420916,2756227.193566935,2406712.1985599366,4002326.0483580623,Prevention
WSM,Samoa,E. Asia & Pacific,LMIC,Prevention,118.08804044247113,343.7674495554168,358.6122940225594,118.08804044247113,787.5958404763816,81.46000702164102,358.6122940225594,118.08804044247113,164.24751045400507,43.50483692281817,2667.617451016866,low_capture,285.660271770463,0.9676179592788754,295.22010110617776,3093.1389123954955,3455.507296294819,2943.736246408633,3812.6303244157443,Prevention
SGP,Singapore,E. Asia & Pacific,HIC,AD-bio-CNG,214.53151450961332,479.3971527591567,371.93502013028336,214.53151450961332,816.8556395439213,113.59916559994237,371.93502013028336,214.53151450961332,170.34943342800267,84.33951706785085,2952.390708070343,low_capture,458.56111226429846,0.855,536.3287862740333,5096.60703406444,5320.466355249262,4818.795468007564,4913.790517000282,AD-bio-CNG
SLB,Solomon Islands,E. Asia & Pacific,LMIC,Prevention,1769.9944056261725,6910.180131195879,4247.938152369005,1769.9944056261725,9329.458234346775,1637.453815758313,4247.938152369005,1769.9944056261725,1945.5921554248328,884.9972028130862,42885.94023713812,low_capture,4345.878659661492,0.982122575268603,4424.986014065431,49945.40179594391,50727.22608333649,45337.5676616922,66527.52014569665,Prevention
TWN,"Taiwan, China",E. Asia & Pacific,HIC,AD-bio-CNG,965.4639779599856,2562.903666769691,1568.4360767597918,965.4639779599856,3444.649697456824,607.3121552399721,1568.4360767597918,965.4639779599856,718.3571930131234,396.2453525762223,12997.555390109068,low_capture,1884.912285920299,0.7809353135693773,2413.6599448999636,21502.313260822753,21776.747136269914,19789.488477799732,21414.377481784028,AD-bio-CNG
THA,Thailand,E. Asia & Pacific,UMIC,Prevention,116234.8077439388,478451.8608107861,334054.29997584823,116234.8077439388,733660.785030634,113375.16682154912,334054.29997584823,116234.8077439388,152999.7382745526,57223.2899662468,3320629.599131192,low_capture,290587.01935984707,1.0,290587.01935984707,3305984.331470073,3447818.088868372,3008587.032360583,4877103.086213104,Prevention
TLS,Timor-Leste,E. Asia & Pacific,LMIC,Prevention,1416.2802695809744,5976.840762552912,3507.134831563368,1416.2802695809744,7702.482183043564,1416.2873509823226,3507.134831563368,1416.2802695809744,1606.297872416422,708.1401347904872,35407.00673952437,low_capture,3540.700673952436,1.0,3540.700673952436,40992.52926359205,41301.88333310037,36916.52546018608,54668.41840582562,Prevention
TON,Tonga,E. Asia & Pacific,UMIC,Prevention,48.37288130102747,159.28752439360483,99.69960437936686,48.37288130102747,218.96347396665237,37.74517590988831,99.69960437936686,48.37288130102747,45.663275034096,24.186440650513735,1006.5380242636884,low_capture,103.8474475510265,0.8587245147112685,120.93220325256866,1189.4481493694066,1211.3789230325656,1084.1969543210726,1571.4681389412726,Prevention
TUV,Tuvalu,E. Asia & Pacific,UMIC,Prevention,6.012756403562522,,17.412267713110857,6.012756403562522,38.24138171694863,,17.412267713110857,6.012756403562522,7.974968150582144,3.0063782017812617,175.7891583522883,low_capture,15.031891008906303,1.0,15.031891008906303,,,155.57200602631843,257.5626454407386,Prevention
VUT,Vanuatu,E. Asia & Pacific,LMIC,Prevention,117.61280608687612,558.3768998374871,436.8668875693969,117.61280608687612,959.4610927361996,132.31440684773565,436.8668875693969,117.61280608687612,200.0887863552979,58.80640304343806,4410.480228257854,low_capture,294.0320152171903,1.0,294.0320152171903,3320.5783378311203,3589.3481238820964,2998.979539207732,6010.014391039369,Prevention
VNM,Viet Nam,E. Asia & Pacific,LMIC,Prevention,102798.79228690696,264223.8430733689,248820.83763003245,102798.79228690696,546468.3169198172,62611.152218970914,248820.83763003245,102798.79228690696,113962.08052823236,51399.39614345349,2512022.3481608895,low_capture,221074.62653262413,0.8602226606538895,256996.98071726743,2420694.9421182866,2640328.263745764,2291329.856146718,3714668.316498365,Prevention
ALB,Albania,Eur. & Cent. Asia,UMIC,Prevention,4060.162963750824,649.7555484375337,10421.491679717135,4060.162963750824,22888.01481520903,153.9677232574613,10421.491679717135,4060.162963750824,4773.132689932231,2030.081481875412,105212.32968256203,low_capture,9233.053670944228,0.9096239489278657,10150.40740937706,90683.8878085936,112768.17935210763,95682.49124994097,155440.14165249863,Prevention
AND,Andorra,Eur. & Cent. Asia,HIC,Prevention,2.468057006882956,,6.111649566144264,2.468057006882956,13.422601112614668,,6.111649566144264,2.468057006882956,2.799187988639752,1.2340285034414782,61.70142517207391,low_capture,5.568553621779668,0.9025,6.170142517207389,,,57.78667541632305,91.99435687455532,Prevention
ARM,Armenia,Eur. & Cent. Asia,UMIC,Prevention,2919.204177304001,5447.684578137827,8846.772758865623,2919.204177304001,19429.56653372293,1290.8971589971768,8846.772758865623,2919.204177304001,4051.8979003675217,1198.9588585355718,73365.42330360001,low_capture,7298.010443260002,1.0,7298.010443260002,76003.26544194102,88694.25023852896,75350.45572230131,105977.10425576757,Prevention
AUT,Austria,Eur. & Cent. Asia,HIC,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,low_capture,,,,,,,,
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,Prevention,16084.495403985162,78135.9411260094,45526.85694668526,16084.495403985162,99987.54576695274,18515.290848504836,45526.85694668526,16084.495403985162,20851.691469947986,8042.247701992581,459625.8222618953,low_capture,37412.15477990571,0.9303905118624067,40211.2385099629,439653.32818469824,442989.6419771368,386192.5525354261,663147.9442645824,Prevention
BLR,Belarus,Eur. & Cent. Asia,UMIC,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,low_capture,,,,,,,,
BEL,Belgium,Eur. & Cent. Asia,HIC,Prevention,480.76246743039064,377.2541212444422,1058.675612339102,480.76246743039064,2325.0973895490893,89.39509370435985,1058.675612339102,480.76246743039064,484.8825224439412,226.01361974600965,10049.251396263931,low_capture,1121.54704357598,0.9331402674343486,1201.9061685759766,11521.010343012003,13379.458517612291,11717.549311662722,15785.79693666576,Prevention
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,low_capture,,,,,,,,
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,AD-bio-CNG,7174.2938551184725,18176.13314599358,14927.437110803448,7174.2938551184725,32784.11692350396,4307.062625079153,14927.437110803448,7174.2938551184725,6836.894394797173,1540.9926235936127,64740.10441913512,low_capture,16347.266359021338,0.9114355608591886,17935.73463779618,181106.9540213423,191407.87517377353,171021.36359135498,102942.92537082086,AD-bio-CNG
CHI,Channel Islands,Eur. & Cent. Asia,HIC,,,,0.0,,0.0,,0.0,,0.0,,,low_capture,,,,,,,,
HRV,Croatia,Eur. & Cent. Asia,HIC,AD-bio-CNG,8098.041949567804,7668.947079950136,12261.08656939697,8098.041949567804,26928.19220852032,1817.253157008471,12261.08656939697,8098.041949567804,5615.682947996768,3427.9451136774323,104797.16711197606,low_capture,15045.836320095588,0.7431839160032304,20245.10487391951,159106.55967319314,176548.55164475486,158083.01621464323,174091.71502918864,AD-bio-CNG
CYP,Cyprus,Eur. & Cent. Asia,HIC,Prevention,2543.536236076469,8938.079124036653,6298.558781396159,2543.536236076469,13833.097135569857,2117.9899060996954,6298.558781396159,2543.536236076469,2884.794014416728,1271.7681180382344,63588.40590191171,low_capture,5916.567377890458,0.9304475075247299,6358.840590191172,67011.77341408868,69788.8015195222,61487.45905703146,95774.5324376358,Prevention
CZE,Czech Republic,Eur. & Cent. Asia,HIC,Prevention,19898.94511122862,36909.05768407738,29565.45466736126,19898.94511122862,64932.60132443176,8746.063951067648,29565.45466736126,19898.94511122862,13541.232148191071,9949.47255561431,298484.1766684293,low_capture,35444.99597937598,0.7125,49747.36277807155,392985.1592723267,412262.63896161347,372100.3241074195,491304.9547962346,Prevention
DNK,Denmark,Eur. & Cent. Asia,HIC,AD-bio-CNG,549.3593351784721,363.4793333711808,698.245787368125,549.3593351784721,1533.5098292159953,86.13098502179358,698.245787368125,549.3593351784721,319.80256720645656,135.44329023413917,3475.9703025490526,low_capture,978.5463157866532,0.7124999999999998,1373.3983379461802,10311.81746176184,11395.716972584862,10326.78134855233,6100.861267286669,AD-bio-CNG
EST,Estonia,Eur. & Cent. Asia,HIC,Prevention,282.55135135135197,872.2916440891764,699.6819113513529,282.55135135135197,1536.6638908431391,206.70044108108152,699.6819113513529,282.55135135135197,320.4603243243251,141.27567567567598,7063.7837837838,low_capture,637.5064864864878,0.9024999999999999,706.3783783783799,7108.680305710811,7566.352111383691,6615.610248648662,10531.819070270292,Prevention
FRO,Faroe Islands,Eur. & Cent. Asia,HIC,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,low_capture,,,,,,,,
FIN,Finland,Eur. & Cent. Asia,HIC,AD-bio-CNG,69.69682121506506,33.731598688704,101.527921559029,69.69682121506506,222.9788828909288,7.993125205968784,101.527921559029,69.69682121506506,46.50066000411854,32.76197182672346,963.6277628048928,low_capture,124.14746278933463,0.7125,174.24205303766263,1282.928072277636,1464.182231273892,1304.2237351438423,1598.5547768067936,Prevention
FRA,France,Eur. & Cent. Asia,HIC,AD-bio-CNG,48133.1134610945,14085.383858791462,70147.82135950137,48133.1134610945,154060.8987536496,3337.7082953128647,70147.82135950137,48133.1134610945,32128.304617871203,20541.30225141017,604456.3611175254,low_capture,87230.21620295555,0.7249081551598597,120332.78365273624,893002.3147874466,1029640.1213869919,916936.4476702854,1009479.5256520277,AD-bio-CNG
GEO,Georgia,Eur. & Cent. Asia,UMIC,Prevention,8316.419755687482,7019.83907369686,16441.83806765668,8316.419755687482,36110.09295475522,1663.438876989875,16441.83806765668,8316.419755687482,7530.50303883507,4158.209877843741,165991.9846914417,low_capture,17970.823437046485,0.8643538428784331,20791.049389218704,186100.56000110597,213527.37500517443,187992.0559562307,263753.2641889746,Prevention
DEU,Germany,Eur. & Cent. Asia,HIC,Prevention,4911.395222895808,7829.752966100372,7297.252794274133,4911.395222895808,16026.461009486233,1855.3581277724577,7297.252794274133,4911.395222895808,3342.204449180597,2455.6976114479044,73670.92834343713,low_capture,8748.422740783157,0.7124999999999999,12278.48805723952,95715.33959154697,102056.68950716038,91840.63497054014,121262.34805329751,Prevention
GIB,Gibraltar,Eur. & Cent. Asia,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
GRC,Greece,Eur. & Cent. Asia,HIC,Prevention,21724.495255225014,51818.36224225302,53796.36760051371,21724.495255225014,118149.3107211701,12279.010585682008,53796.36760051371,21724.495255225014,24639.198368634377,10862.247627612507,543112.3813806254,low_capture,49015.89241960143,0.9024999999999999,54311.23813806253,531314.9041670029,585366.842060238,508653.7111566292,809758.8361432572,Prevention
GRL,Greenland,Eur. & Cent. Asia,HIC,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,low_capture,,,,,,,,
HUN,Hungary,Eur. & Cent. Asia,HIC,AD-bio-CNG,7322.7425465199985,6366.23075707507,10879.984420768486,7322.7425465199985,23894.971302088263,1508.5581920085854,10879.984420768486,7322.7425465199985,4983.1263029068605,3661.371273259999,109841.1381978,low_capture,13043.635160988746,0.7125,18306.856366299995,137400.99688786417,153421.17924086878,136931.6242486507,180798.5134735788,Prevention
ISL,Iceland,Eur. & Cent. Asia,HIC,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,low_capture,,,,,,,,
IRL,Ireland,Eur. & Cent. Asia,HIC,AD-bio-CNG,3683.758192863256,4088.832694593847,4830.06701451454,3683.758192863256,10607.948342157277,968.9001691192314,4830.06701451454,3683.758192863256,2212.2121736577046,982.335518096868,26006.902849759925,low_capture,6640.175787731049,0.7210218955842891,9209.39548215814,71503.87825059313,77054.09372903734,70032.90039685612,45272.26620189694,AD-bio-CNG
IMN,Isle of Man,Eur. & Cent. Asia,HIC,,,,0.0,,0.0,,0.0,,0.0,,,low_capture,,,,,,,,
ITA,Italy,Eur. & Cent. Asia,HIC,Prevention,37723.865620939185,64038.29297569434,66301.52288233305,37723.865620939185,145613.53447656817,15174.676375556712,66301.52288233305,37723.865620939185,30366.66688300263,18861.932810469592,669360.7689126222,low_capture,74634.89828031757,0.7913812336229974,94309.66405234796,809764.4633832165,876165.0285085337,781661.0264068526,1075374.61555755,Prevention
KAZ,Kazakhstan,Eur. & Cent. Asia,UMIC,Prevention,12857.588721007372,67635.91156729012,31839.246949830565,12857.588721007372,69926.37698028663,16027.177204566511,31839.246949830565,12857.588721007372,14582.648541075863,6428.794360503686,321439.7180251844,low_capture,29724.331169307974,0.9247249018237105,32143.97180251843,359197.38773953036,345460.67594796035,308818.0745809949,483140.0795862198,Prevention
