iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e,ad_screen_diverted_ofmsw_tpy,bio_cng_screen_diverted_ofmsw_tpy,compost_screen_diverted_ofmsw_tpy,compost_nutrient_credit_tco2e,ad_electricity_nutrient_credit_tco2e,bio_cng_nutrient_credit_tco2e,ad_screen_net_gwp100_benefit_with_nutrients_tco2e,bio_cng_screen_net_gwp100_benefit_with_nutrients_tco2e,compost_screen_net_gwp100_benefit_with_nutrients_tco2e,prevention_screen_net_gwp100_benefit_with_nutrients_tco2e,best_four_pathway_with_nutrients,best_four_pathway_with_nutrients_benefit_tco2e,nutrient_credit_assumption_note,nutrient_credit_factor_sources
JPN,Japan,E. Asia & Pacific,HIC,11417351.999999996,97335.11159574732,519.6,53345.56953266733,54945.76121908722,51071.438785346494,55398.61830580639,Prevention,55398.61830580639,38934.04463829893,38934.04463829893,38934.04463829893,221.4957799472826,1286.3808348493967,1286.3808348493967,54631.95036751673,56232.142053936615,51292.93456529378,55398.61830580639,AD-bio-CNG,56232.142053936615,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
KIR,Kiribati,E. Asia & Pacific,LMIC,9849.77293722219,9824.738110436265,500.0,2785.0690062354215,2964.681607808643,2570.152003352465,4299.35477764863,Prevention,4299.35477764863,3929.895244174506,3929.895244174506,3929.895244174506,22.357174044108763,129.84373886752567,129.84373886752567,2914.912745102947,3094.5253466761687,2592.5091773965737,4299.35477764863,Prevention,4299.35477764863,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
KOR,"Korea, Rep.",E. Asia & Pacific,HIC,5585735.843616004,571299.3494711564,438.06,312820.6944596796,326589.9432321121,303011.4619660066,326783.22789750155,Prevention,326783.22789750155,228519.73978846255,228519.73978846255,228519.73978846255,1300.0487996565637,7550.292202610803,7550.292202610803,320370.9866622904,334140.2354347229,304311.5107656632,326783.22789750155,AD-bio-CNG,334140.2354347229,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
LAO,Lao PDR,E. Asia & Pacific,LMIC,0.0,0.0,237.27,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
MAC,"Macao SAR, China",E. Asia & Pacific,HIC,168354.8048,,448.98,,,,,,,,,,,,,,,,,,,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
MYS,Malaysia,E. Asia & Pacific,UMIC,7380789.894609797,7357864.426734786,604.04,2759717.5699183205,2822303.0256566,2540614.2840095605,3174963.063704232,Prevention,3174963.063704232,2943145.7706939145,2943145.7706939145,2943145.7706939145,16743.556289477678,97241.53626372693,97241.53626372693,2856959.1061820476,2919544.561920327,2557357.840299038,3174963.063704232,Prevention,3174963.063704232,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
MHL,Marshall Islands,E. Asia & Pacific,UMIC,1657.69448161507,930.0003039742292,,,,259.69300646934755,415.1752464954873,Prevention,415.1752464954873,372.0001215896917,372.0001215896917,372.0001215896917,2.116308691723756,12.290884017323414,12.290884017323414,,,261.8093151610713,415.1752464954873,Prevention,415.1752464954873,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
FSM,"Micronesia, Fed. Sts.",E. Asia & Pacific,LMIC,4883.7,4883.7,,,,1184.907126456,2090.797141728,Prevention,2090.797141728,1953.48,1953.48,1953.48,11.11334772,64.5429792,64.5429792,,,1196.020474176,2090.797141728,Prevention,2090.797141728,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
MNG,Mongolia,E. Asia & Pacific,LMIC,485545.5847412329,442659.0012546843,814.19,147682.07769297864,142706.56568775288,127434.23904979076,199527.1144048388,Prevention,199527.1144048388,177063.60050187373,177063.60050187373,177063.60050187373,1007.3148232551596,5850.181360581908,5850.181360581908,153532.25905356056,148556.7470483348,128441.55387304592,199527.1144048388,Prevention,199527.1144048388,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
MMR,Myanmar,E. Asia & Pacific,LMIC,4690239.621902682,4174313.263493387,563.87,1629572.2838267891,1680834.3331866006,1518006.497791251,513452.31563722255,AD-bio-CNG,1680834.3331866006,1669725.305397355,1669725.305397355,1669725.305397355,9499.067262405551,55167.724090328615,55167.724090328615,1684740.0079171178,1736002.0572769293,1527505.5650536565,513452.31563722255,AD-bio-CNG,1736002.0572769293,Conservative screening nutrient credit; phosphate treated as reported kg phosphate; not central manuscript result.,N=generic_screening_default; P=generic_screening_default; K=generic_screening_default; compost_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; compost_K=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_N=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_P=ecoinvent_3.12_cutoff_ecoinvent_documentation; digestate_K=ecoinvent_3.12_cutoff_ecoinvent_documentation
