iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_three_pathway_screen,best_three_pathway_benefit_tco2e
ARM,Armenia,Eur. & Cent. Asia,UMIC,298311.3840000001,297714.7612320001,240.89,82860.0601858362,72382.23955281827,105977.10425576755,Prevention,105977.10425576755
AUT,Austria,Eur. & Cent. Asia,HIC,0.0,0.0,140.84,,,,,
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,1797294.9113208172,1532086.0742063175,671.39,551654.6843772933,401371.6853586114,678374.9597560934,Prevention,678374.9597560934
BLR,Belarus,Eur. & Cent. Asia,UMIC,0.0,0.0,439.22,,,,,
BEL,Belgium,Eur. & Cent. Asia,HIC,3098766.7395,35626.93037795307,139.4,12962.248952497152,12236.656095794491,16196.821853355395,Prevention,16196.821853355395
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,0.0,0.0,683.18,,,,,
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,772338.0725474465,502343.4529608504,476.33,218254.6549756551,183295.5342384056,106655.1037808814,AD,218254.6549756551
CHI,Channel Islands,Eur. & Cent. Asia,HIC,0.0,0.0,,,,,,
HRV,Croatia,Eur. & Cent. Asia,HIC,682974.6546000001,412614.4708300344,244.68,225287.3843995921,210537.29180607203,198037.27420400223,AD,225287.3843995921
CYP,Cyprus,Eur. & Cent. Asia,HIC,255927.768,211961.35300637237,555.13,81377.218471783,64186.13691738968,98180.4987125517,Prevention,98180.4987125517
CZE,Czech Republic,Eur. & Cent. Asia,HIC,2189387.1870031357,994947.2555614308,488.36,588779.5986241357,517790.45073927986,569109.8301811385,AD,588779.5986241357
DNK,Denmark,Eur. & Cent. Asia,HIC,2159383.0468753106,23497.616987983583,203.64,15087.59918500407,14388.500108277787,7160.027796917638,AD,15087.59918500407
EST,Estonia,Eur. & Cent. Asia,HIC,158400.0,23545.945945946,487.7,8807.908126960698,7130.183351351367,10906.482162162189,Prevention,10906.482162162189
FRO,Faroe Islands,Eur. & Cent. Asia,HIC,0.0,0.0,354.17,,,,,
FIN,Finland,Eur. & Cent. Asia,HIC,931515.11756096,3416.6539312357486,129.97,1880.0666098536165,1815.1888373512304,1854.7533964917711,AD,1880.0666098536165
FRA,France,Eur. & Cent. Asia,HIC,9266871.022858456,2360639.575155856,78.55,1280647.9706654612,1253556.8049595952,1163179.782355882,AD,1280647.9706654612
GEO,Georgia,Eur. & Cent. Asia,UMIC,553306.6156381388,553306.6156381388,167.02,226661.2761016613,213159.6473579522,279095.29336879146,Prevention,279095.29336879146
DEU,Germany,Eur. & Cent. Asia,HIC,17636664.102796208,245569.7611447904,419.74,142858.7941766592,127799.41509497182,140465.90337482013,AD,142858.7941766592
GIB,Gibraltar,Eur. & Cent. Asia,HIC,4646.384595128288,,571.43,,,,,
GRC,Greece,Eur. & Cent. Asia,HIC,2329954.4460773286,1810374.6046020845,376.81,647882.6417289329,548217.6377656033,838565.5168516857,Prevention,838565.5168516857
GRL,Greenland,Eur. & Cent. Asia,HIC,0.0,0.0,111.11,,,,,
HUN,Hungary,Eur. & Cent. Asia,HIC,724708.2999999999,366137.127326,228.9,202789.59301131745,190545.0838029969,209430.43683047197,Prevention,209430.43683047197
ISL,Iceland,Eur. & Cent. Asia,HIC,0.0,0.0,27.68,,,,,
IRL,Ireland,Eur. & Cent. Asia,HIC,972147.9833193755,162543.1428109996,331.16,104229.72428558268,96365.45553839716,52726.42894199473,AD,104229.72428558268
