iso3,country_ember,electricity_carbon_intensity_latest_year,electricity_carbon_intensity_latest_gco2_kwh,electricity_carbon_intensity_2022_gco2_kwh
CHN,China,2025,526.49,586.75
RUS,Russian Federation (the),2025,449.73,436.33
MNG,Mongolia,2025,816.31,814.19
CHE,Switzerland,2025,39.22,37.27
MLT,Malta,2025,484.02,500.0
DEU,Germany,2025,329.65,419.74
SLV,El Salvador,2025,139.32,113.12
QAT,Qatar,2025,581.52,596.9
ETH,Ethiopia,2025,23.08,23.55
ITA,Italy,2025,284.78,377.84
VNM,Viet Nam,2025,460.73,415.41
KOR,South Korea,2025,417.06,438.06
URY,Uruguay,2025,80.4,110.36
PER,Peru,2025,238.25,287.81
MKD,North Macedonia,2025,441.35,624.58
SVK,Slovakia,2025,94.85,142.05
LVA,Latvia,2025,138.76,135.19
DOM,Dominican Republic (the),2025,537.48,580.06
JPN,Japan,2025,477.26,519.6
PRY,Paraguay,2025,24.7,24.71
AUS,Australia,2025,525.18,577.86
EST,Estonia,2025,319.15,487.7
NOR,Norway,2025,28.11,29.64
ECU,Ecuador,2025,159.02,181.19
ZAF,South Africa,2025,699.29,729.02
KAZ,Kazakhstan,2025,805.32,831.01
UZB,Uzbekistan,2025,1000.0,1121.35
OMN,Oman,2025,544.47,545.28
KHM,Cambodia,2025,498.87,300.0
KGZ,Kyrgyzstan,2025,150.32,146.89
SVN,Slovenia,2025,183.29,257.49
KWT,Kuwait,2025,635.31,636.89
AUT,Austria,2025,116.91,140.84
KEN,Kenya,2025,95.44,109.57
EGY,Egypt,2025,563.23,570.04
XKX,Kosovo,2025,900.56,945.01
AZE,Azerbaijan,2025,646.76,671.39
SGP,Singapore,2025,497.09,504.22
BGD,Bangladesh,2025,696.13,676.48
CAN,Canada,2025,190.61,160.6
ARM,Armenia,2025,235.29,240.89
BEL,Belgium,2025,149.82,139.4
HRV,Croatia,2025,158.5,244.68
SRB,Serbia,2025,695.8,710.68
IND,India,2025,670.13,705.75
FRA,France,2025,41.44,78.55
MYS,Malaysia,2025,601.97,604.04
THA,Thailand,2025,545.74,560.29
GBR,United Kingdom,2025,217.41,254.98
FIN,Finland,2025,57.47,129.97
PRI,Puerto Rico,2025,654.75,660.3
NZL,New Zealand,2025,92.76,103.12
BLR,Belarus,2025,313.17,439.22
CYP,Cyprus,2025,489.0,555.13
IRN,Iran (Islamic Republic of),2025,659.53,655.37
NLD,Netherlands,2025,253.56,325.61
PRT,Portugal,2025,127.91,225.34
CZE,Czechia,2025,401.46,488.36
LUX,Luxembourg,2025,123.38,140.5
LKA,Sri Lanka,2025,329.28,410.15
ARG,Argentina,2025,342.91,392.69
TUN,Tunisia,2025,560.29,565.62
USA,United States of America,2025,384.4,410.39
IRL,Ireland,2025,256.38,331.16
POL,Poland,2025,588.6,732.48
LTU,Lithuania,2025,138.36,180.69
DNK,Denmark,2025,114.41,203.64
ESP,Spain,2025,153.6,217.13
NGA,Nigeria,2025,455.71,497.37
ISR,Israel,2025,492.69,583.32
PHL,Philippines (the),2025,588.29,602.51
BGR,Bulgaria,2025,275.55,476.33
BOL,Bolivia,2025,481.29,485.86
